Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.12,0.02,0.13,0.12,0.13,Matches
34,Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,20,10,899,10.0,2,0,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.6,1.6,0.3,1.9,0.16,0.03,0.19,0.16,0.19,Matches
35,Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20,2000,5,2,129,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.11,0.0,0.11,0.11,0.11,Matches
36,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,27,26,2146,23.8,2,2,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,2.3,2.0,1.2,3.1,0.1,0.05,0.15,0.08,0.13,Matches
37,Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.26,0.0,0.26,0.26,0.26,Matches
38,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,25,14,1289,14.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,0.06,0.04,0.1,0.06,0.1,Matches
39,Ola Aina,NGA,DF,Fulham,Premier League,23,1996,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches
40,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,1.6,0.04,0.06,0.1,0.04,0.1,Matches
41,Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,3,2,187,2.1,0,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21,Matches
42,Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05,Matches
43,Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,35,34,2967,33.0,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.5,0.11,0.61,0.39,0.5,Matches
44,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,28,26,2350,26.1,2,0,2,0,0,4,0,0.08,0.0,0.08,0.08,0.08,1.8,1.8,0.1,1.9,0.07,0.0,0.07,0.07,0.07,Matches
45,Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,13,10,865,9.6,1,0,1,0,0,3,1,0.1,0.0,0.1,0.1,0.1,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Matches
46,Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.67,0.0,0.67,0.67,0.67,Matches
47,Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,Matches
48,Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,10,4,378,4.2,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.08,0.0,0.08,Matches
49,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,32,6,1056,11.7,0,1,0,0,0,9,0,0.0,0.09,0.09,0.0,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16,Matches
50,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,16,14,1184,13.2,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0.1,0.1,0.4,0.4,0.0,0.03,0.03,0.0,0.03,Matches
51,David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,1992,32,30,2675,29.7,2,4,2,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.3,1.3,2.3,3.6,0.04,0.08,0.12,0.04,0.12,Matches
52,Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22,1998,22,17,1505,16.7,0,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08,Matches
53,Jony Álamo,ESP,MF,Elche,La Liga,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
54,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,25,12,1245,13.8,11,2,9,2,2,2,0,0.8,0.14,0.94,0.65,0.8,6.5,5.0,0.7,5.7,0.47,0.05,0.52,0.36,0.41,Matches
55,Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,35,34,3025,33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29,Matches
56,Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,34,33,2618,29.1,9,2,9,0,0,5,0,0.31,0.07,0.38,0.31,0.38,5.5,5.3,8.2,13.5,0.19,0.28,0.47,0.18,0.46,Matches
57,Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,35,35,3115,34.6,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,0.02,0.03,0.05,0.02,0.05,Matches
58,Marc Albrighton,ENG,"DF,FW",Leicester City,Premier League,30,1989,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,Matches
59,Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,27,19,1544,17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58,Matches
60,Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,13,8,909,10.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches
61,Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,Matches
62,Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,30,25,2165,24.1,1,0,1,0,0,10,0,0.04,0.0,0.04,0.04,0.04,1.7,1.7,0.6,2.3,0.07,0.03,0.09,0.07,0.09,Matches
63,Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,17,14,1299,14.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches
64,Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,25,25,2240,24.9,1,0,1,0,0,2,0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,Matches
65,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,25,1995,22,6,827,9.2,1,1,1,0,0,5,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,0.8,1.7,0.11,0.08,0.19,0.11,0.19,Matches
66,Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,2,0,48,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
67,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,22,1998,22,15,1366,15.2,2,2,2,0,0,1,0,0.13,0.13,0.26,0.13,0.26,1.9,1.9,2.0,3.9,0.12,0.13,0.26,0.12,0.26,Matches
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,Matches
70,Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.22,0.35,0.13,0.35,Matches
71,Mohamed Ali Cho,FRA,"FW,MF",Angers,Ligue 1,16,2004,21,1,348,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,0.36,0.03,0.39,0.36,0.39,Matches
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,Matches
