Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
174,Federico Artioli,ITA,MF,Sassuolo,Serie A,19,2001,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
175,Gabriele Artistico,ITA,FW,Parma,Serie A,18,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
176,Kwadwo Asamoah,GHA,"DF,MF",Cagliari,Serie A,31,1988,9,224,25,6.5,2.5,1,90,1,8,17,9,1.56,3,2,1,0.4,0.88,4.7,4.1,0.7,0.27,0.78,Matches
177,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,13,762,59,24.9,8.5,8,75,3,5,33,7,1.38,7,9,-2,-0.24,0.12,8.6,12.8,-4.2,-0.49,-0.48,Matches
178,Raúl Asencio,ESP,FW,Genoa,Serie A,22,1998,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
179,Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,1989,36,3240,90,94.7,36.0,36,90,36,0,0,2,1.61,58,40,18,0.5,1.5,55.5,41.0,14.5,0.4,0.44,Matches
180,Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,24,1996,35,1869,53,54.6,20.8,21,71,1,14,28,1,2.2,37,17,20,0.96,-0.14,31.0,22.0,9.0,0.44,-0.5,Matches
181,Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,19,2001,6,95,16,2.8,1.1,0,0,0,6,16,29,2.17,1,2,-1,-0.95,-0.92,1.2,2.3,-1.2,-1.1,-0.84,Matches
182,Joel Asoro,SWE,FW,Genoa,Serie A,21,1999,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
183,Iago Aspas,ESP,FW,Celta Vigo,La Liga,32,1987,33,2864,87,83.7,31.8,33,87,25,0,0,1,1.48,47,44,3,0.09,0.9,40.0,38.6,1.4,0.04,0.56,Matches
184,Roger Assalé,CIV,"FW,MF",Dijon,Ligue 1,26,1993,17,828,49,24.2,9.2,11,63,1,6,22,1,0.59,7,18,-11,-1.2,0.09,8.2,19.6,-11.4,-1.24,-0.13,Matches
185,Lorenz Assignon,TOG,FW,Rennes,Ligue 1,20,2000,0,0,0,0.0,0.0,0,0,0,0,0,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
186,Ryan Astley,WAL,DF,Everton,Premier League,18,2001,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
187,Miguel Atienza,ESP,MF,Eibar,La Liga,21,1999,12,838,70,24.5,9.3,9,87,7,3,18,5,0.67,7,17,-10,-1.07,-0.62,9.3,9.3,0.1,0.01,0.19,Matches
188,Youcef Attal,ALG,"DF,MF",Nice,Ligue 1,24,1996,18,956,53,28.0,10.6,13,66,1,5,21,0,1.33,15,21,-6,-0.56,-0.67,12.1,17.6,-5.5,-0.52,-0.54,Matches
189,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,31,1989,29,2332,80,68.2,25.9,26,87,19,3,23,3,1.52,34,26,8,0.31,-0.35,34.0,30.3,3.7,0.14,-0.31,Matches
