Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
59,Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,17.2,6,36,18,50.0,2.1,1.05,0.14,0.28,13.7,3,1,2,8.3,6.7,0.2,-2.3,-1.7,Matches
60,Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,10.1,0,2,0,0.0,0.2,0.0,0.0,0.0,12.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
61,Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,21.0,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
62,Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,24.1,1,27,3,11.1,1.12,0.12,0.04,0.33,24.2,6,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
63,Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,14.4,0,7,2,28.6,0.48,0.14,0.0,0.0,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
64,Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,24.9,1,11,3,27.3,0.44,0.12,0.09,0.33,7.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
65,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,25,1995,9.2,1,13,3,23.1,1.41,0.33,0.08,0.33,17.8,1,0,0,1.0,1.0,0.07,0.0,0.0,Matches
66,Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,0.5,0,1,0,0.0,1.87,0.0,0.0,0.0,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
67,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,22,1998,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,21.0,0,0,0,1.9,1.9,0.06,0.1,0.1,Matches
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8,Matches
70,Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
71,Mohamed Ali Cho,FRA,"FW,MF",Angers,Ligue 1,16,2004,3.9,0,10,0,0.0,2.59,0.0,0.0,0.0,12.4,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,18.6,0,0,0,1.5,1.5,0.06,0.5,0.5,Matches
73,Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
74,Alisson,BRA,GK,Liverpool,Premier League,27,1992,33.0,1,1,1,100.0,0.03,0.03,1.0,1.0,6.0,0,0,0,0.1,0.1,0.1,0.9,0.9,Matches
75,Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
76,Allan,BRA,MF,Everton,Premier League,29,1991,22.8,0,7,2,28.6,0.31,0.09,0.0,0.0,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
77,Dele Alli,ENG,MF,Tottenham,Premier League,24,1996,6.9,0,12,4,33.3,1.74,0.58,0.0,0.0,14.2,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
78,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,Premier League,26,1994,27.0,4,33,13,39.4,1.22,0.48,0.12,0.31,18.4,1,0,0,3.2,3.2,0.1,0.8,0.8,Matches
79,Marcos Alonso,ESP,DF,Chelsea,Premier League,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.2,5,0,0,1.7,1.7,0.08,0.3,0.3,Matches
80,Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,28,1992,17.4,0,6,2,33.3,0.34,0.11,0.0,0.0,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
81,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,21.6,1,11,1,9.1,0.51,0.05,0.09,1.0,14.1,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
82,Bruno Alves,POR,DF,Parma,Serie A,38,1981,18.1,1,10,3,30.0,0.55,0.17,0.1,0.33,22.0,3,0,0,0.3,0.3,0.03,0.7,0.7,Matches
