Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2112,Joel Pohjanpalo,FIN,FW,Union Berlin,Bundesliga,25,1994,9.5,0,0,0,7,8,12,3,1,2,0,0,0,38,38,52,42.2,Matches
2113,Joel Pohjanpalo,FIN,MF,Leverkusen,Bundesliga,25,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
2114,Andrea Poli,ITA,MF,Bologna,Serie A,30,1989,4.3,1,0,0,5,7,0,2,7,7,0,0,1,45,2,6,25.0,Matches
2115,Matteo Politano,ITA,FW,Napoli,Serie A,26,1993,21.2,3,0,0,15,47,0,45,21,14,0,0,0,106,6,19,24.0,Matches
2116,Jorge Pombo,ESP,"FW,MF",Cádiz,La Liga,26,1994,5.8,1,0,0,9,14,0,8,3,4,0,0,0,43,3,4,42.9,Matches
2117,Marin Pongračić,CRO,DF,Wolfsburg,Bundesliga,22,1997,6.4,2,1,1,11,3,0,0,22,9,0,0,0,64,17,10,63.0,Matches
2118,Pere Pons,ESP,MF,Alavés,La Liga,27,1993,13.2,1,0,0,18,18,1,8,11,19,0,0,0,121,13,25,34.2,Matches
2119,Nick Pope,ENG,GK,Burnley,Premier League,28,1992,32.0,1,0,0,2,3,0,0,1,0,0,2,0,164,0,1,0.0,Matches
2120,Manolo Portanova,ITA,"DF,MF",Genoa,Serie A,20,2000,0.7,0,0,0,3,6,0,0,2,1,0,0,0,6,0,6,0.0,Matches
2121,Manolo Portanova,ITA,"FW,MF",Juventus,Serie A,20,2000,0.8,1,0,0,2,3,0,0,0,2,0,0,0,3,1,0,100.0,Matches
2122,Francisco Portillo,ESP,"MF,FW",Getafe,La Liga,30,1990,4.6,1,0,0,4,4,0,12,5,3,0,0,0,42,1,15,6.3,Matches
2123,Portu,ESP,"FW,MF",Real Sociedad,La Liga,28,1992,24.3,3,0,0,35,25,23,58,14,14,0,0,0,118,21,38,35.6,Matches
2124,Stefan Posch,AUT,DF,Hoffenheim,Bundesliga,23,1997,23.5,11,1,1,37,13,1,18,29,32,0,0,0,239,53,34,60.9,Matches
2125,Sergio Postigo,ESP,DF,Levante,La Liga,31,1988,18.0,4,0,0,16,12,0,1,39,13,0,0,1,110,28,19,59.6,Matches
2126,Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,26,1994,15.0,1,0,0,22,30,9,10,7,2,1,0,0,80,39,45,46.4,Matches
2127,Maxime Poundjé,FRA,DF,Bordeaux,Ligue 1,27,1992,5.5,1,0,0,3,9,0,12,10,3,0,0,0,31,17,9,65.4,Matches
2128,Darío Poveda,ESP,FW,Getafe,La Liga,23,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
2129,Alejandro Pozo Pozo,ESP,"DF,MF",Eibar,La Liga,21,1999,24.3,4,0,0,22,18,2,59,28,26,0,0,0,203,11,39,22.0,Matches
2130,Dennis Praet,BEL,"MF,FW",Leicester City,Premier League,26,1994,8.0,0,0,0,12,2,0,18,9,7,0,0,0,62,5,11,31.3,Matches
2131,Sanjin Prcić,BIH,MF,Strasbourg,Ligue 1,26,1993,3.9,1,0,0,9,3,0,5,5,3,0,0,0,51,4,1,80.0,Matches
2132,Nicolas de Préville,FRA,"FW,MF",Bordeaux,Ligue 1,29,1991,17.9,3,0,0,20,45,2,32,13,20,0,0,0,108,26,34,43.3,Matches
2133,Manuel Prietl,AUT,MF,Arminia,Bundesliga,28,1991,28.0,3,0,0,39,10,0,4,38,48,0,0,0,282,37,34,52.1,Matches
2134,Grischa Prömel,GER,MF,Union Berlin,Bundesliga,25,1995,20.2,7,0,0,30,52,6,5,31,27,1,0,0,221,25,23,52.1,Matches
2135,Davy Pröpper,NED,MF,Brighton,Premier League,28,1991,2.4,0,0,0,1,0,0,2,2,5,0,0,0,12,3,4,42.9,Matches
2136,Ivan Provedel,ITA,GK,Spezia,Serie A,26,1994,29.0,1,0,0,0,7,0,0,0,0,0,0,0,147,0,0,0.0,Matches
2137,Antonio Puertas,ESP,"FW,MF",Granada,La Liga,28,1992,24.1,6,0,0,32,25,13,40,17,17,0,0,0,145,57,88,39.3,Matches
2138,Riqui Puig,ESP,MF,Barcelona,La Liga,20,1999,3.2,1,0,0,2,10,0,0,2,5,0,0,0,24,1,4,20.0,Matches
2139,Erick Pulgar,CHI,MF,Fiorentina,Serie A,26,1994,22.2,8,0,0,23,22,0,24,35,32,0,1,0,227,30,14,68.2,Matches
2140,Jorge Pulido,ESP,DF,Huesca,La Liga,29,1991,32.1,6,1,1,35,26,4,8,35,26,0,0,0,303,64,55,53.8,Matches
2141,Christian Pulisic,USA,"FW,MF",Chelsea,Premier League,21,1998,19.3,2,0,0,14,33,5,31,9,17,0,0,0,120,21,48,30.4,Matches
2142,Ignacio Pussetto,ARG,FW,Udinese,Serie A,24,1995,8.4,2,0,0,18,10,7,14,10,15,1,0,0,44,23,20,53.5,Matches
2143,Fabio Quagliarella,ITA,FW,Sampdoria,Serie A,37,1983,24.5,1,0,0,27,36,18,22,6,8,1,0,0,99,31,68,31.3,Matches
2144,Robin Quaison,SWE,"FW,MF",Mainz 05,Bundesliga,26,1993,16.4,1,0,0,21,12,3,6,9,9,0,0,0,92,23,55,29.5,Matches
2145,Domingos Quina,POR,MF,Granada,La Liga,20,1999,3.8,1,0,0,5,10,1,2,4,6,0,0,0,28,5,6,45.5,Matches
2146,Quini,ESP,DF,Granada,La Liga,30,1989,13.2,5,0,0,18,9,0,17,21,23,0,0,0,120,24,11,68.6,Matches
2147,Quique,ESP,"FW,MF",Eibar,La Liga,30,1990,1.9,0,0,0,3,4,1,0,0,0,0,0,0,12,6,13,31.6,Matches
2148,Dani Raba,ESP,MF,Villarreal,La Liga,24,1995,1.7,0,0,0,3,9,1,4,2,2,0,0,0,15,1,1,50.0,Matches
2149,Simone Rabbi,ITA,FW,Bologna,Serie A,18,2001,0.4,0,0,0,3,2,1,0,0,1,0,0,0,1,0,2,0.0,Matches
2150,Adrien Rabiot,FRA,MF,Juventus,Serie A,25,1995,25.7,7,1,1,44,21,0,14,31,45,0,2,0,217,40,23,63.5,Matches
2151,Uroš Račić,SRB,MF,Valencia,La Liga,22,1998,24.3,6,0,0,44,25,1,1,20,26,0,1,0,264,76,46,62.3,Matches
2152,Anthony Racioppi,SUI,GK,Dijon,Ligue 1,21,1998,21.0,0,0,0,0,4,0,0,0,0,0,0,1,103,0,0,0.0,Matches
2153,Nemanja Radoja,SRB,MF,Levante,La Liga,27,1993,12.5,1,0,0,15,9,0,3,13,11,0,0,0,130,25,14,64.1,Matches
2154,Nemanja Radonjić,SRB,FW,Marseille,Ligue 1,24,1996,4.4,2,0,0,3,3,2,8,2,8,0,0,0,31,6,16,27.3,Matches
2155,Nemanja Radonjić,SRB,"FW,DF",Hertha BSC,Bundesliga,24,1996,6.8,1,0,0,7,5,4,23,4,5,0,0,0,45,3,4,42.9,Matches
2156,Aleksandar Radovanović,SRB,DF,Lens,Ligue 1,26,1993,1.0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,100.0,Matches
2157,Ivan Radovanović,SRB,"DF,MF",Genoa,Serie A,31,1988,24.8,6,0,0,28,25,0,2,33,22,0,3,0,207,58,37,61.1,Matches
2158,Ionuț Radu,ROU,GK,Inter,Serie A,23,1997,1.5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0,Matches
2159,Ștefan Radu,ROU,DF,Lazio,Serie A,33,1986,27.3,2,0,0,20,21,1,43,45,23,0,0,0,255,47,28,62.7,Matches
2160,Rafael,BRA,GK,Spezia,Serie A,38,1982,2.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0,Matches
2161,Rafinha,BRA,MF,Paris S-G,Ligue 1,27,1993,15.1,2,0,0,22,41,1,8,15,38,1,0,0,135,9,12,42.9,Matches
2162,Antonio Raimondo,ITA,FW,Bologna,Serie A,16,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
