Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
91,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,21.0,1142,1052,90,35,2,186,23,22,44,14,19,0,827,144,171,148,961,14,8,7,946,4,3,35,22,Matches
92,Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,Premier League,19,2000,23.2,1064,979,85,19,3,121,42,11,5,5,0,0,710,122,232,174,722,65,61,4,857,1,27,15,19,Matches
93,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,27.1,1390,1330,60,41,0,177,65,10,0,0,0,0,1086,113,191,94,1241,34,3,5,1234,3,14,23,34,Matches
94,Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,8.9,248,237,11,11,0,48,6,2,0,0,0,0,150,52,46,27,177,29,0,1,195,0,6,11,6,Matches
95,Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,2.1,117,111,6,4,0,11,4,0,0,0,0,0,89,11,17,9,96,5,2,0,105,0,0,1,1,Matches
96,Joachim Andersen,DEN,DF,Fulham,Premier League,24,1996,30.3,1833,1765,68,54,1,164,96,4,0,0,0,0,1255,158,420,174,1476,108,14,7,1529,7,51,18,22,Matches
97,Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,0.8,33,26,7,0,0,5,0,1,0,0,0,0,20,10,3,2,22,1,7,0,24,0,0,2,1,Matches
98,Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
99,Felipe Anderson,BRA,"FW,MF",West Ham,Premier League,27,1993,0.0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0,Matches
100,Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,12.5,247,224,23,0,0,94,1,4,0,0,0,0,121,69,57,23,128,26,1,17,176,1,6,5,11,Matches
