Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
268,Ismaël Bennacer,ALG,MF,Milan,Serie A,22,1997,14.7,38,24,20,18,0,14,32,43.8,18,298,91,30.5,120,151,27,19,2,0,17,22,60,17,0,Matches
269,Saïd Benrahma,ALG,"FW,MF",West Ham,Premier League,24,1995,15.5,31,21,10,15,6,8,28,28.6,20,289,73,25.3,82,143,64,15,0,0,15,13,44,10,0,Matches
270,Yassine Benrahou,FRA,MF,Nîmes,Ligue 1,21,1999,13.8,17,8,6,7,4,5,22,22.7,17,248,73,29.4,67,108,73,17,0,0,17,6,23,9,1,Matches
271,Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,25,1995,20.1,45,25,31,11,3,30,52,57.7,22,254,72,28.3,125,98,31,55,9,0,46,63,108,107,1,Matches
272,Josh Benson,ENG,MF,Burnley,Premier League,20,1999,2.9,8,5,5,1,2,4,8,50.0,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,Matches
273,Nabil Bentaleb,ALG,MF,Schalke 04,Bundesliga,25,1994,6.1,13,6,7,5,1,3,16,18.8,13,113,24,21.2,49,46,18,11,2,0,9,3,16,7,0,Matches
274,Rodrigo Bentancur,URU,MF,Juventus,Serie A,23,1997,25.8,74,45,27,38,9,15,54,27.8,39,537,158,29.4,169,274,94,56,16,0,40,48,122,45,1,Matches
275,Christian Benteke,BEL,FW,Crystal Palace,Premier League,29,1990,20.2,13,9,1,5,7,0,8,0.0,8,240,56,23.3,16,130,94,17,6,1,11,5,18,38,0,Matches
276,Karim Benzema,FRA,FW,Real Madrid,La Liga,32,1987,32.2,12,7,4,3,5,5,9,55.6,4,245,42,17.1,31,87,127,12,5,0,7,14,26,21,0,Matches
277,Yassine Benzia,ALG,"MF,FW",Dijon,Ligue 1,25,1994,4.5,11,5,5,3,3,6,14,42.9,8,119,24,20.2,35,67,17,2,0,0,2,8,19,2,0,Matches
278,Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,29,1991,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
279,Domenico Berardi,ITA,"FW,MF",Sassuolo,Serie A,25,1994,27.5,40,23,18,8,14,14,55,25.5,41,430,138,32.1,131,170,129,36,2,0,34,35,75,39,0,Matches
280,Gaetano Berardi,SUI,DF,Leeds United,Premier League,31,1988,1.3,3,2,2,0,1,1,1,100.0,0,14,6,42.9,9,4,1,2,1,0,1,2,5,5,0,Matches
281,Yuri Berchiche,ESP,DF,Athletic Club,La Liga,30,1990,18.7,33,23,22,8,3,13,36,36.1,23,236,82,34.7,103,88,45,23,1,0,22,16,49,30,0,Matches
282,Álex Berenguer,ESP,MF,Torino,Serie A,25,1995,1.5,0,0,0,0,0,0,4,0.0,4,38,4,10.5,7,25,6,5,1,0,4,0,0,1,0,Matches
283,Álex Berenguer,ESP,"MF,FW",Athletic Club,La Liga,25,1995,25.3,50,31,24,20,6,9,55,16.4,46,626,158,25.2,159,277,190,62,3,0,59,24,74,30,0,Matches
284,Bartosz Bereszyński,POL,DF,Sampdoria,Serie A,28,1992,29.0,72,46,42,23,7,22,59,37.3,37,427,141,33.0,205,163,59,78,21,1,57,34,106,80,3,Matches
285,Jóhann Berg Guðmundsson,ISL,MF,Burnley,Premier League,29,1990,15.1,19,14,6,9,4,10,23,43.5,13,166,48,28.9,48,72,46,19,2,0,17,17,36,14,0,Matches
286,Sander Berge,NOR,MF,Sheffield Utd,Premier League,22,1998,12.4,21,16,9,8,4,5,17,29.4,12,217,63,29.0,70,115,32,20,2,0,18,3,24,19,1,Matches
287,Steven Bergwijn,NED,"FW,MF",Tottenham,Premier League,22,1997,13.4,16,10,7,3,6,6,24,25.0,18,240,63,26.3,59,95,86,10,1,0,9,12,28,5,0,Matches
288,Valon Berisha,KVX,MF,Reims,Ligue 1,27,1993,18.3,41,27,18,21,2,4,37,10.8,33,409,104,25.4,114,227,68,20,2,0,18,17,58,25,1,Matches
