Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1206,Alex Iwobi,NGA,"FW,DF",Everton,Premier League,24,1996,17.1,33,21,16,15,2,14,27,51.9,13,225,73,32.4,93,73,59,22,1,0,21,18,51,12,0,Matches
1207,Jairo Izquierdo,ESP,"MF,DF",Cádiz,La Liga,26,1993,14.2,22,6,11,7,4,10,37,27.0,27,188,48,25.5,72,79,37,18,1,0,17,16,38,12,0,Matches
1208,José Izquierdo,COL,"DF,MF",Brighton,Premier League,28,1992,0.1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
1209,Armando Izzo,ITA,DF,Torino,Serie A,28,1992,22.3,33,24,18,13,2,12,36,33.3,24,249,78,31.3,114,109,26,32,12,0,20,53,86,111,0,Matches
1210,Phil Jagielka,ENG,DF,Sheffield Utd,Premier League,37,1982,5.8,9,4,5,3,1,5,11,45.5,6,56,17,30.4,40,16,0,15,6,0,9,12,21,47,2,Matches
1211,Alireza Jahanbakhsh,IRN,"FW,MF",Brighton,Premier League,26,1993,5.9,8,5,1,6,1,2,12,16.7,10,93,25,26.9,15,31,47,9,1,0,8,7,15,1,0,Matches
1212,Mato Jajalo,BIH,MF,Udinese,Serie A,32,1988,0.4,2,2,2,0,0,0,0,0.0,0,4,3,75.0,4,0,0,1,0,0,1,0,2,3,1,Matches
1213,Ismail Jakobs,GER,"DF,MF",Köln,Bundesliga,20,1999,19.2,30,12,20,5,5,13,25,52.0,12,277,72,26.0,113,95,69,33,0,0,33,18,48,36,0,Matches
1214,Daniel James,WAL,FW,Manchester Utd,Premier League,22,1997,10.1,12,9,4,5,3,2,23,8.7,21,221,46,20.8,46,88,87,14,1,0,13,10,22,4,0,Matches
1215,Reece James,ENG,DF,Chelsea,Premier League,20,1999,26.4,64,36,35,21,8,19,49,38.8,30,359,92,25.6,158,152,49,58,9,0,49,41,105,54,0,Matches
1216,Alexandre Jankewitz,SUI,MF,Southampton,Premier League,18,2001,0.0,2,0,1,1,0,1,1,100.0,0,8,2,25.0,4,4,0,0,0,0,0,0,2,0,0,Matches
1217,Saidy Janko,SUI,DF,Valladolid,La Liga,24,1995,13.6,21,14,17,3,1,7,20,35.0,13,171,44,25.7,86,58,27,24,2,0,22,24,45,47,0,Matches
1218,Jakub Jankto,CZE,MF,Sampdoria,Serie A,24,1996,26.8,22,10,12,8,2,9,38,23.7,29,377,84,22.3,96,162,119,42,3,0,39,19,41,30,0,Matches
1219,Tony Jantschke,GER,DF,M'Gladbach,Bundesliga,30,1990,3.0,9,7,5,4,0,4,7,57.1,3,24,12,50.0,10,11,3,10,6,0,4,4,13,9,0,Matches
1220,Adnan Januzaj,BEL,"FW,MF",Real Sociedad,La Liga,25,1995,11.3,12,6,2,8,2,1,6,16.7,5,107,30,28.0,11,62,34,9,2,0,7,5,17,5,0,Matches
1221,Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,35,1984,8.0,0,0,0,0,0,0,0,0.0,0,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0,Matches
1222,Jason,ESP,"MF,DF",Valencia,La Liga,26,1994,4.9,11,6,5,4,2,3,16,18.8,13,98,24,24.5,29,51,18,10,2,0,8,9,20,6,1,Matches
1223,Luis Javier Suárez,COL,"FW,MF",Granada,La Liga,22,1997,18.5,24,15,7,8,9,4,17,23.5,13,270,63,23.3,30,121,119,16,2,0,14,10,34,14,0,Matches
1224,Corentin Jean,FRA,"FW,MF",Lens,Ligue 1,25,1995,6.4,9,7,3,3,3,3,7,42.9,4,101,31,30.7,8,47,46,4,0,0,4,2,11,3,0,Matches
1225,Daniel Jebbison,ENG,FW,Sheffield Utd,Premier League,17,2003,3.2,4,0,1,2,1,1,3,33.3,2,60,9,15.0,3,28,29,7,1,0,6,3,7,0,0,Matches
1226,Tin Jedvaj,CRO,DF,Leverkusen,Bundesliga,24,1995,1.7,4,0,2,2,0,1,3,33.3,2,26,5,19.2,11,11,4,2,1,0,1,4,8,15,0,Matches
1227,Fredrik Jensen,FIN,"FW,MF",Augsburg,Bundesliga,22,1997,4.2,4,2,2,1,1,3,7,42.9,4,69,12,17.4,12,31,26,3,1,0,2,5,9,7,0,Matches
1228,Jesé,ESP,FW,Paris S-G,Ligue 1,27,1993,0.3,0,0,0,0,0,0,1,0.0,1,6,0,0.0,0,4,2,0,0,0,0,0,0,0,0,Matches
1229,Gabriel Jesus,BRA,FW,Manchester City,Premier League,23,1997,22.9,23,13,6,8,9,7,27,25.9,20,332,103,31.0,39,119,174,19,2,0,17,19,42,4,0,Matches
1230,Juan Jesus,BRA,DF,Roma,Serie A,29,1991,1.7,5,2,4,1,0,3,4,75.0,1,19,6,31.6,11,5,3,3,0,0,3,0,5,5,0,Matches
1231,Raúl Jiménez,MEX,FW,Wolves,Premier League,29,1991,9.1,7,4,1,4,2,0,7,0.0,7,90,22,24.4,12,36,42,8,1,0,7,6,13,10,1,Matches
1232,Joaquín,ESP,"FW,MF",Betis,La Liga,39,1981,14.3,7,5,2,4,1,3,12,25.0,9,152,35,23.0,33,76,43,18,1,0,17,14,21,10,0,Matches
1233,John Joe,IRL,"MF,DF",Getafe,La Liga,16,2003,0.7,1,1,0,1,0,0,0,0.0,0,24,4,16.7,4,17,3,1,0,0,1,1,2,0,0,Matches
1234,Joelinton,BRA,"FW,MF",Newcastle Utd,Premier League,23,1996,22.0,44,26,10,27,7,13,38,34.2,25,394,96,24.4,88,199,107,37,4,0,33,20,64,21,0,Matches
1235,Marco John,GER,DF,Hoffenheim,Bundesliga,18,2002,11.1,18,12,7,8,3,5,19,26.3,14,145,54,37.2,49,63,33,31,1,0,30,13,31,20,0,Matches
1236,Ben Johnson,ENG,DF,West Ham,Premier League,20,2000,5.8,9,3,7,0,2,5,9,55.6,4,81,13,16.0,45,22,14,10,2,1,8,11,20,14,0,Matches
1237,Sam Johnstone,ENG,GK,West Brom,Premier League,27,1993,37.0,0,0,0,0,0,0,0,0.0,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,1,Matches
1238,Curtis Jones,ENG,MF,Liverpool,Premier League,19,2001,13.1,21,16,8,8,5,10,23,43.5,13,234,70,29.9,51,110,73,18,0,0,18,17,38,10,1,Matches
1239,Frenkie de Jong,NED,"MF,DF",Barcelona,La Liga,23,1997,35.0,41,26,19,18,4,11,37,29.7,26,360,114,31.7,99,183,78,32,3,0,29,37,78,31,1,Matches
1240,Luuk de Jong,NED,FW,Sevilla,La Liga,29,1990,14.1,10,5,4,3,3,1,5,20.0,4,194,62,32.0,13,86,95,12,3,0,9,3,13,14,0,Matches
1241,Jony,ESP,"MF,FW",Osasuna,La Liga,29,1991,9.7,6,6,1,3,2,3,14,21.4,11,119,31,26.1,22,53,44,8,0,0,8,11,17,3,0,Matches
1242,Joan Jordán,ESP,MF,Sevilla,La Liga,26,1994,26.7,50,28,15,28,7,18,78,23.1,60,480,128,26.7,113,290,77,28,1,0,27,19,69,35,1,Matches
1243,Jorginho,ITA,MF,Chelsea,Premier League,28,1991,22.3,59,38,25,28,6,22,73,30.1,51,468,166,35.5,169,242,57,42,5,0,37,51,110,21,1,Matches
1244,Josan,ESP,"MF,DF",Elche,La Liga,30,1989,21.4,40,26,26,14,0,10,36,27.8,26,282,67,23.8,122,111,49,35,2,0,33,21,61,28,1,Matches
1245,Willian José,BRA,FW,Wolves,Premier League,28,1991,12.3,2,2,0,1,1,0,4,0.0,4,119,32,26.9,5,63,51,7,1,0,6,7,9,10,0,Matches
1246,Willian José,BRA,FW,Real Sociedad,La Liga,28,1991,7.7,4,4,0,4,0,2,4,50.0,2,100,35,35.0,3,37,60,5,1,0,4,1,5,5,0,Matches
1247,Joselu,ESP,FW,Alavés,La Liga,30,1990,33.6,29,21,10,16,3,7,28,25.0,21,560,131,23.4,53,275,232,37,6,0,31,17,46,56,0,Matches
1248,Josema,ESP,DF,Elche,La Liga,24,1996,21.8,49,29,37,12,0,7,18,38.9,11,241,83,34.4,160,68,13,42,10,0,32,34,83,98,0,Matches
1249,Jota,POR,FW,Valladolid,La Liga,21,1999,7.4,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,5,0,0,0,Matches
1250,Jota,ESP,MF,Alavés,La Liga,29,1991,15.5,24,14,8,10,6,4,24,16.7,20,306,73,23.9,78,157,71,15,0,0,15,16,40,11,0,Matches
1251,Diogo Jota,POR,FW,Liverpool,Premier League,23,1996,12.4,14,10,4,7,3,5,35,14.3,30,298,76,25.5,60,106,132,12,1,0,11,8,22,4,0,Matches
1252,Stevan Jovetić,MNE,"FW,MF",Monaco,Ligue 1,30,1989,8.9,13,9,3,7,3,4,14,28.6,10,133,45,33.8,18,54,61,4,0,0,4,7,20,8,0,Matches
1253,Luka Jović,SRB,"FW,MF",Real Madrid,La Liga,22,1997,1.7,0,0,0,0,0,0,0,0.0,0,15,2,13.3,2,2,11,0,0,0,0,0,0,0,0,Matches
1254,Luka Jović,SRB,"FW,MF",Eint Frankfurt,Bundesliga,22,1997,9.9,4,4,0,2,2,1,5,20.0,4,99,26,26.3,5,38,56,5,0,0,5,1,5,4,0,Matches
1255,Juanmi,ESP,"FW,MF",Betis,La Liga,27,1993,6.7,11,8,2,4,5,5,16,31.3,11,134,39,29.1,21,63,50,3,0,0,3,3,14,2,1,Matches
1256,Hamed Junior Traorè,CIV,"FW,MF",Sassuolo,Serie A,20,2000,19.9,37,24,14,12,11,14,32,43.8,18,344,104,30.2,78,151,115,20,4,1,16,18,55,14,1,Matches
1257,Vinicius Júnior,BRA,FW,Real Madrid,La Liga,20,2000,21.9,34,24,15,9,10,9,45,20.0,36,445,119,26.7,109,175,161,40,2,0,38,8,42,7,0,Matches
1258,James Justin,ENG,DF,Leicester City,Premier League,22,1998,23.0,63,28,41,18,4,17,43,39.5,26,347,110,31.7,183,107,57,54,11,0,43,25,88,64,0,Matches
1259,Musa Juwara,GAM,DF,Bologna,Serie A,18,2001,0.5,3,0,2,1,0,2,3,66.7,1,7,1,14.3,3,3,1,0,0,0,0,0,3,0,0,Matches
1260,Jens Jønsson,DEN,MF,Cádiz,La Liga,27,1993,29.1,56,41,29,24,3,17,44,38.6,27,480,143,29.8,179,249,52,52,9,0,43,47,103,51,0,Matches
1261,Ozan Kabak,TUR,DF,Liverpool,Premier League,20,2000,8.9,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,Matches
1262,Ozan Kabak,TUR,DF,Schalke 04,Bundesliga,20,2000,13.8,20,11,15,4,1,6,16,37.5,10,151,47,31.1,104,42,5,30,14,0,16,16,36,76,2,Matches
1263,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,Ligue 1,26,1994,10.2,19,13,7,8,4,6,15,40.0,9,154,50,32.5,41,79,34,13,0,0,13,7,26,3,0,Matches
1264,Pavel Kadeřábek,CZE,DF,Hoffenheim,Bundesliga,28,1992,17.6,21,15,9,6,6,8,23,34.8,15,141,39,27.7,41,56,44,19,3,0,16,17,38,34,0,Matches
1265,Tino Kadewere,ZIM,FW,Lyon,Ligue 1,24,1996,22.3,39,25,16,16,7,12,36,33.3,24,328,101,30.8,82,128,118,29,6,0,23,24,63,24,0,Matches
1266,Damian Kądzior,POL,"FW,MF",Eibar,La Liga,28,1992,2.2,1,1,0,1,0,1,6,16.7,5,34,8,23.5,4,15,15,1,0,0,1,0,1,0,0,Matches
1267,Florian Kainz,AUT,"FW,MF",Köln,Bundesliga,27,1992,5.0,5,4,1,3,1,0,4,0.0,4,58,17,29.3,10,27,21,8,0,0,8,5,10,5,0,Matches
1268,Gaël Kakuta,COD,"MF,FW",Lens,Ligue 1,29,1991,26.6,42,27,8,21,13,8,35,22.9,27,484,129,26.7,84,282,118,29,4,0,25,23,65,8,0,Matches
1269,Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,23,1997,23.7,15,6,2,6,7,1,22,4.5,21,388,99,25.5,17,154,217,19,3,0,16,7,22,17,0,Matches
1270,Arnaud Kalimuendo,FRA,FW,Paris S-G,Ligue 1,18,2002,0.8,0,0,0,0,0,0,0,0.0,0,4,1,25.0,0,3,1,0,0,0,0,0,0,0,0,Matches
1271,Arnaud Kalimuendo,FRA,FW,Lens,Ligue 1,18,2002,13.5,7,5,4,1,2,2,12,16.7,10,211,56,26.5,21,91,99,8,0,0,8,1,8,2,0,Matches
1272,Nikola Kalinić,CRO,FW,Hellas Verona,Serie A,32,1988,11.8,2,1,1,1,0,0,3,0.0,3,130,38,29.2,7,33,90,4,0,0,4,1,3,6,0,Matches
1273,Yayah Kallon,SLE,"MF,FW",Genoa,Serie A,19,2001,0.5,0,0,0,0,0,0,0,0.0,0,6,0,0.0,1,3,2,0,0,0,0,0,0,0,0,Matches
1274,Samuel Kalu,NGA,"FW,MF",Bordeaux,Ligue 1,22,1997,10.7,26,18,11,10,5,6,15,40.0,9,160,58,36.3,36,64,60,18,0,0,18,9,35,3,0,Matches
1275,Pierre Kalulu,FRA,DF,Milan,Serie A,20,2000,8.1,21,13,11,7,3,5,9,55.6,4,127,39,30.7,61,50,16,14,4,0,10,15,36,25,0,Matches
1276,Daichi Kamada,JPN,"MF,FW",Eint Frankfurt,Bundesliga,23,1996,26.2,52,29,24,17,11,20,63,31.7,43,523,157,30.0,89,259,175,31,2,0,29,26,78,23,0,Matches
1277,Aboubakar Kamara,MTN,"FW,DF",Fulham,Premier League,25,1995,3.5,2,2,2,0,0,1,5,20.0,4,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0,Matches
1278,Aboubakar Kamara,MTN,"FW,MF",Dijon,Ligue 1,25,1995,6.2,3,3,1,1,1,0,6,0.0,6,112,21,18.8,9,58,45,1,0,0,1,1,4,3,0,Matches
1279,Bingourou Kamara,SEN,GK,Strasbourg,Ligue 1,23,1996,8.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
1280,Boubacar Kamara,FRA,MF,Marseille,Ligue 1,20,1999,32.2,97,68,38,49,10,35,84,41.7,49,533,185,34.7,162,315,56,57,14,0,43,34,131,71,0,Matches
1281,Hassane Kamara,FRA,DF,Nice,Ligue 1,25,1994,32.9,67,27,37,22,8,26,58,44.8,32,367,95,25.9,148,133,86,62,9,0,53,43,110,75,1,Matches
1282,Marcin Kamiński,POL,DF,Stuttgart,Bundesliga,28,1992,2.4,1,1,0,0,1,0,0,0.0,0,9,3,33.3,5,4,0,4,1,0,3,1,2,14,0,Matches
1283,Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,29,1990,21.5,50,42,17,27,6,12,32,37.5,20,390,153,39.2,105,226,59,30,3,0,27,30,80,22,0,Matches
1284,Harry Kane,ENG,FW,Tottenham,Premier League,27,1993,34.2,18,12,3,12,3,5,20,25.0,15,391,99,25.3,21,190,180,30,13,1,17,15,33,41,0,Matches
1285,Wilfried Kanga,FRA,FW,Angers,Ligue 1,22,1998,1.5,0,0,0,0,0,0,2,0.0,2,27,4,14.8,2,10,15,1,0,0,1,0,0,2,0,Matches
1286,Lee Kangin,KOR,"FW,MF",Valencia,La Liga,19,2001,14.0,18,13,9,5,4,5,32,15.6,27,319,73,22.9,59,170,90,10,0,0,10,2,20,1,0,Matches
1287,N'Golo Kanté,FRA,MF,Chelsea,Premier League,29,1991,23.8,87,57,42,40,5,29,60,48.3,31,481,164,34.1,203,214,64,62,5,0,57,62,149,32,0,Matches
1288,Jimmy Kaparos,GER,MF,Schalke 04,Bundesliga,18,2001,0.2,0,0,0,0,0,0,1,0.0,1,4,0,0.0,3,1,0,0,0,0,0,0,0,0,0,Matches
1289,Yann Karamoh,FRA,"FW,MF",Parma,Serie A,22,1998,14.4,26,20,9,12,5,10,24,41.7,14,238,62,26.1,47,109,82,11,1,0,10,7,33,7,0,Matches
1290,Isaac Karamoko,FRA,DF,Sassuolo,Serie A,18,2002,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
1291,Atakan Karazor,GER,"DF,MF",Stuttgart,Bundesliga,23,1996,11.5,22,14,14,8,0,10,19,52.6,9,177,67,37.9,90,69,18,22,6,0,16,18,40,62,1,Matches
1292,Augustus Kargbo,SLE,FW,Crotone,Serie A,20,1999,0.4,1,1,0,0,1,0,1,0.0,1,20,6,30.0,1,5,14,0,0,0,0,0,1,0,0,Matches
1293,Loris Karius,GER,GK,Union Berlin,Bundesliga,27,1993,3.2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
1294,Rick Karsdorp,NED,DF,Roma,Serie A,25,1995,28.3,46,29,22,20,4,13,46,28.3,33,328,99,30.2,125,126,77,28,1,0,27,33,79,33,0,Matches
1295,Noah Katterbach,GER,DF,Köln,Bundesliga,19,2001,12.3,22,15,14,6,2,5,22,22.7,17,144,46,31.9,73,57,14,15,2,1,13,11,33,29,0,Matches
1296,Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,37,1983,24.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,1,Matches
1297,Moise Kean,ITA,FW,Everton,Premier League,20,2000,0.2,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
1298,Moise Kean,ITA,FW,Paris S-G,Ligue 1,20,2000,18.9,10,9,1,7,2,3,14,21.4,11,177,51,28.8,22,64,91,10,2,0,8,7,17,7,0,Matches
1299,Michael Keane,ENG,DF,Everton,Premier League,27,1993,33.2,31,15,23,6,2,12,34,35.3,22,204,70,34.3,131,64,9,74,38,0,36,43,74,198,2,Matches
1300,Neeskens Kebano,COD,"FW,MF",Fulham,Premier League,28,1992,1.3,1,1,1,0,0,1,3,33.3,2,30,9,30.0,4,13,13,5,0,0,5,0,1,1,0,Matches
1301,Thilo Kehrer,GER,DF,Paris S-G,Ligue 1,23,1996,18.0,28,16,17,9,2,8,22,36.4,14,202,74,36.6,85,92,25,25,4,0,21,17,45,47,2,Matches
1302,Habib Keita,MLI,MF,Lyon,Ligue 1,18,2002,0.1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1,0,0,0,0,0,2,2,0,0,Matches
1303,Naby Keïta,GUI,MF,Liverpool,Premier League,25,1995,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,Matches
1304,Yannik Keitel,GER,MF,Freiburg,Bundesliga,20,2000,5.5,13,8,6,6,1,4,7,57.1,3,89,30,33.7,35,40,14,9,2,0,7,10,23,11,0,Matches
1305,Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,21,1998,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Matches
1306,Stephane Keller,CMR,DF,Alavés,La Liga,18,2001,0.2,1,1,0,1,0,0,0,0.0,0,2,1,50.0,1,1,0,1,0,0,1,0,1,0,0,Matches
1307,Martin Kelly,ENG,DF,Crystal Palace,Premier League,30,1990,0.0,1,0,1,0,0,1,1,100.0,0,3,2,66.7,2,1,0,0,0,0,0,0,1,1,0,Matches
1308,Marc-Oliver Kempf,GER,DF,Stuttgart,Bundesliga,25,1995,30.3,63,42,46,13,4,25,51,49.0,26,285,102,35.8,165,104,16,65,31,0,34,52,115,131,1,Matches
1309,Kenedy,BRA,"FW,MF",Granada,La Liga,24,1996,16.3,28,18,15,8,5,4,25,16.0,21,258,64,24.8,80,96,82,32,4,0,28,21,49,16,1,Matches
1310,Jonjoe Kenny,ENG,DF,Everton,Premier League,23,1997,0.9,1,0,1,0,0,0,1,0.0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0,Matches
1311,Franck Kessié,CIV,MF,Milan,Serie A,23,1996,35.8,72,44,45,19,8,26,42,61.9,16,536,160,29.9,171,279,86,75,18,0,57,43,115,59,0,Matches
1312,Reda Khadra,GER,FW,Brighton,Premier League,19,2001,0.1,0,0,0,0,0,0,0,0.0,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
1313,Omar Khailoti,ITA,DF,Bologna,Serie A,18,2001,0.3,0,0,0,0,0,0,0,0.0,0,2,1,50.0,1,0,1,2,0,0,2,0,0,0,0,Matches
1314,Saîf-Eddine Khaoui,TUN,"FW,MF",Marseille,Ligue 1,25,1995,6.7,16,10,8,3,5,6,15,40.0,9,131,36,27.5,43,58,30,13,0,0,13,18,34,7,0,Matches
1315,Wahbi Khazri,TUN,FW,Saint-Étienne,Ligue 1,29,1991,13.1,23,12,11,7,5,9,24,37.5,15,235,78,33.2,29,100,106,12,1,0,11,6,29,9,0,Matches
1316,Rani Khedira,GER,MF,Augsburg,Bundesliga,26,1994,20.2,36,20,16,18,2,9,24,37.5,15,336,98,29.2,106,184,46,25,6,0,19,23,59,57,0,Matches
1317,Sami Khedira,GER,MF,Hertha BSC,Bundesliga,33,1987,4.4,10,8,3,5,2,5,11,45.5,6,66,22,33.3,22,30,14,5,1,0,4,10,20,9,1,Matches
1318,Kike,ESP,FW,Eibar,La Liga,30,1989,34.3,26,22,7,11,8,3,24,12.5,21,556,177,31.8,32,209,315,35,4,0,31,8,34,26,0,Matches
1319,Luca Kilian,GER,DF,Mainz 05,Bundesliga,20,1999,4.2,14,4,10,3,1,2,10,20.0,8,38,17,44.7,22,15,1,6,2,0,4,1,15,15,1,Matches
1320,Max Kilman,ENG,DF,Wolves,Premier League,23,1997,14.6,27,20,21,3,3,10,20,50.0,10,148,44,29.7,105,36,7,20,9,0,11,18,45,58,0,Matches
1321,Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,25,1995,24.4,45,34,16,23,6,16,62,25.8,46,429,137,31.9,126,223,80,34,5,0,29,41,86,26,0,Matches
1322,Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,24,1995,25.6,53,33,25,26,2,12,20,60.0,8,218,72,33.0,108,90,20,34,14,0,20,34,87,94,2,Matches
1323,Joshua King,NOR,"MF,FW",Everton,Premier League,28,1992,1.6,4,1,2,0,2,1,1,100.0,0,44,11,25.0,14,17,13,3,0,0,3,1,5,1,0,Matches
1324,Giorgos Kiriakopoulos,GRE,DF,Sassuolo,Serie A,24,1996,16.2,46,26,27,12,7,15,32,46.9,17,206,62,30.1,94,74,38,30,6,0,24,14,60,44,1,Matches
1325,Simon Kjær,DEN,DF,Milan,Serie A,31,1989,26.6,51,21,31,18,2,21,40,52.5,19,308,92,29.9,153,144,11,56,29,1,27,38,89,145,2,Matches
1326,Davy Klaassen,NED,MF,Werder Bremen,Bundesliga,27,1993,2.5,3,2,1,1,1,0,2,0.0,2,59,20,33.9,9,35,15,9,1,0,8,2,5,0,0,Matches
1327,Felix Klaus,GER,"DF,MF",Wolfsburg,Bundesliga,27,1992,1.5,9,8,3,5,1,3,5,60.0,2,35,16,45.7,12,14,9,5,0,0,5,0,9,6,0,Matches
1328,Klauss,BRA,FW,Hoffenheim,Bundesliga,23,1997,0.6,0,0,0,0,0,0,1,0.0,1,11,4,36.4,0,3,8,0,0,0,0,0,0,0,0,Matches
1329,Ragnar Klavan,EST,DF,Cagliari,Serie A,34,1985,8.6,16,5,8,7,1,6,9,66.7,3,105,29,27.6,62,39,4,13,5,0,8,7,23,41,0,Matches
1330,Philipp Klement,GER,"MF,FW",Stuttgart,Bundesliga,27,1992,4.7,9,5,6,1,2,3,12,25.0,9,106,27,25.5,44,38,24,8,2,0,6,5,14,11,0,Matches
1331,Mateusz Klich,POL,MF,Leeds United,Premier League,30,1990,26.6,52,43,19,25,8,10,59,16.9,49,570,165,28.9,129,319,122,21,4,0,17,17,69,23,0,Matches
1332,Mateo Klimowicz,GER,"FW,MF",Stuttgart,Bundesliga,20,2000,13.3,24,14,6,11,7,4,18,22.2,14,232,69,29.7,39,85,108,11,1,0,10,3,27,4,0,Matches
1333,Fabian Klos,GER,FW,Arminia,Bundesliga,32,1987,30.1,26,14,9,11,6,7,34,20.6,27,508,141,27.8,54,259,195,20,6,1,14,10,36,28,0,Matches
1334,Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,24,1996,16.1,26,13,14,9,3,8,19,42.1,11,178,73,41.0,76,76,26,33,8,0,25,19,45,53,0,Matches
1335,Justin Kluivert,NED,"FW,MF",Roma,Serie A,21,1999,0.2,0,0,0,0,0,0,0,0.0,0,8,1,12.5,2,3,3,0,0,0,0,0,0,0,0,Matches
1336,Justin Kluivert,NED,FW,RB Leipzig,Bundesliga,21,1999,9.0,5,3,1,3,1,1,6,16.7,5,126,35,27.8,21,54,51,11,0,0,11,3,8,5,0,Matches
1337,Lukas Klünter,GER,DF,Hertha BSC,Bundesliga,24,1996,11.0,13,8,9,4,0,4,7,57.1,3,108,36,33.3,59,40,9,13,1,0,12,13,26,47,0,Matches
1338,Ansgar Knauff,GER,"FW,MF",Dortmund,Bundesliga,18,2002,0.8,1,0,0,1,0,0,1,0.0,1,21,3,14.3,6,13,2,2,1,0,1,1,2,2,0,Matches
1339,Robin Knoche,GER,DF,Union Berlin,Bundesliga,28,1992,33.8,50,34,33,16,1,18,40,45.0,22,346,133,38.4,216,112,18,59,29,1,30,44,94,192,2,Matches
1340,Gregor Kobel,SUI,GK,Stuttgart,Bundesliga,22,1997,33.0,0,0,0,0,0,0,0,0.0,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,1,Matches
1341,Robin Koch,GER,"DF,MF",Leeds United,Premier League,24,1996,12.6,29,18,16,13,0,12,24,50.0,12,183,48,26.2,91,80,12,31,14,0,17,13,42,40,2,Matches
1342,Giorgi Kochorashvili,GEO,MF,Levante,La Liga,21,1999,0.3,0,0,0,0,0,0,0,0.0,0,6,3,50.0,1,4,1,0,0,0,0,0,0,0,0,Matches
1343,Kenan Kodro,BIH,FW,Valladolid,La Liga,26,1993,5.1,0,0,0,0,0,0,2,0.0,2,59,11,18.6,6,19,34,1,0,0,1,4,4,5,0,Matches
1344,Kenan Kodro,BIH,"FW,MF",Athletic Club,La Liga,26,1993,0.5,0,0,0,0,0,0,1,0.0,1,9,1,11.1,1,4,4,0,0,0,0,0,0,0,0,Matches
1345,Dominik Kohr,GER,MF,Mainz 05,Bundesliga,26,1994,14.1,48,29,18,22,8,11,36,30.6,25,299,100,33.4,84,161,54,24,5,0,19,29,77,38,0,Matches
1346,Dominik Kohr,GER,"MF,FW",Eint Frankfurt,Bundesliga,26,1994,2.9,17,11,2,10,5,3,6,50.0,3,74,28,37.8,15,44,15,7,1,0,6,5,22,9,0,Matches
1347,Koba Koindredi,FRA,MF,Valencia,La Liga,18,2001,0.2,2,2,1,1,0,0,1,0.0,1,4,3,75.0,1,3,0,0,0,0,0,0,2,1,0,Matches
1348,Koke,ESP,MF,Atlético Madrid,La Liga,28,1992,33.6,78,53,27,38,13,30,107,28.0,77,616,177,28.7,202,316,98,46,6,0,40,38,116,44,0,Matches
1349,Aleksandr Kokorin,RUS,"FW,MF",Fiorentina,Serie A,29,1991,1.0,0,0,0,0,0,0,1,0.0,1,7,0,0.0,5,1,1,0,0,0,0,1,1,0,0,Matches
1350,Aleksandar Kolarov,SRB,DF,Inter,Serie A,34,1985,4.3,7,5,2,4,1,1,2,50.0,1,37,14,37.8,10,23,4,3,0,0,3,2,9,9,0,Matches
1351,Sead Kolašinac,BIH,DF,Arsenal,Premier League,27,1993,1.0,0,0,0,0,0,0,0,0.0,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0,Matches
