Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
49,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,11.7,19,1.62,14,0,1,0,1,3,1,0.09,1,0,0,0,0,0,Matches
50,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,13.2,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
51,David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,1992,29.7,49,1.65,44,1,0,3,0,1,6,0.2,5,1,0,0,0,0,Matches
52,Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22,1998,16.7,16,0.96,12,1,1,0,2,0,3,0.18,2,0,0,0,1,0,Matches
53,Jony Álamo,ESP,MF,Elche,La Liga,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Matches
54,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,13.8,27,1.95,21,0,2,1,3,0,3,0.22,2,0,0,1,0,0,Matches
55,Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0,Matches
56,Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,29.1,144,4.95,110,24,4,3,2,1,5,0.17,4,0,1,0,0,0,Matches
57,Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,34.6,14,0.4,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
58,Marc Albrighton,ENG,"DF,FW",Leicester City,Premier League,30,1989,19.4,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1,Matches
59,Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0,Matches
60,Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,10.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
61,Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,20.6,61,2.96,51,2,3,2,1,2,2,0.1,2,0,0,0,0,0,Matches
62,Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0,Matches
63,Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,14.4,6,0.42,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
64,Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Matches
65,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,25,1995,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0,Matches
66,Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
67,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,22,1998,15.2,57,3.76,29,12,4,6,5,1,2,0.13,2,0,0,0,0,0,Matches
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
69,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,33.7,123,3.65,78,32,7,6,0,0,13,0.39,10,2,0,1,0,0,Matches
70,Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
71,Mohamed Ali Cho,FRA,"FW,MF",Angers,Ligue 1,16,2004,3.9,5,1.29,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,57,2.08,49,3,0,3,2,0,6,0.22,4,1,0,1,0,0,Matches
73,Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
74,Alisson,BRA,GK,Liverpool,Premier League,27,1992,33.0,5,0.15,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
75,Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
76,Allan,BRA,MF,Everton,Premier League,29,1991,22.8,38,1.67,32,0,4,1,1,0,2,0.09,2,0,0,0,0,0,Matches
77,Dele Alli,ENG,MF,Tottenham,Premier League,24,1996,6.9,22,3.19,18,0,0,1,2,1,3,0.44,2,0,0,1,0,0,Matches
78,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,Premier League,26,1994,27.0,62,2.3,46,1,6,3,4,2,4,0.15,3,0,0,1,0,0,Matches
79,Marcos Alonso,ESP,DF,Chelsea,Premier League,29,1990,10.7,33,3.09,24,2,0,5,1,1,2,0.19,1,0,0,1,0,0,Matches
80,Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,28,1992,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0,Matches
81,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,21.6,12,0.55,11,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
82,Bruno Alves,POR,DF,Parma,Serie A,38,1981,18.1,7,0.39,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
83,Steven Alzate,COL,"MF,DF",Brighton,Premier League,21,1998,10.0,25,2.51,20,1,1,3,0,0,1,0.1,1,0,0,0,0,0,Matches
84,Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,16.7,25,1.5,21,0,0,2,0,2,3,0.18,2,0,0,1,0,0,Matches
85,Romain Amalfitano,FRA,"FW,DF",Dijon,Ligue 1,30,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
86,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
88,Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,9.0,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0,Matches
89,Thierry Ambrose,FRA,FW,Metz,Ligue 1,23,1997,8.4,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0,Matches
90,Wisdom Amey,ITA,DF,Bologna,Serie A,14,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
91,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,21.0,72,3.43,48,13,4,7,0,0,12,0.57,8,1,2,1,0,0,Matches
92,Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,Premier League,19,2000,23.2,15,0.65,13,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
93,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,27.1,34,1.25,31,0,1,2,0,0,2,0.07,1,0,0,1,0,0,Matches
94,Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0,Matches
95,Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,2.1,1,0.47,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
96,Joachim Andersen,DEN,DF,Fulham,Premier League,24,1996,30.3,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
97,Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
98,Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
99,Felipe Anderson,BRA,"FW,MF",West Ham,Premier League,27,1993,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
100,Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,12.5,12,0.96,7,0,0,3,1,1,3,0.24,1,0,0,1,1,0,Matches
101,Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
102,Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,32.1,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0,Matches
103,Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,28.1,55,1.96,42,3,4,1,2,3,8,0.29,6,0,0,0,1,1,Matches
104,Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,18.6,26,1.4,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0,Matches
105,Ángel,ESP,GK,Granada,La Liga,18,2002,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
106,Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
107,José Ángel,ESP,DF,Eibar,La Liga,30,1989,10.0,15,1.5,11,3,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
108,Angeliño,ESP,"DF,FW",RB Leipzig,Bundesliga,23,1997,24.0,92,3.83,62,15,6,6,3,0,6,0.25,4,1,1,0,0,0,Matches
109,Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
110,Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
111,Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,21.6,61,2.82,39,13,3,2,1,3,8,0.37,7,0,1,0,0,0,Matches
112,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,30.1,28,0.93,22,1,0,1,1,3,5,0.17,4,0,0,0,1,0,Matches
113,José Antonio Miranda,EQG,"MF,DF",Getafe,La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
114,Michail Antonio,ENG,FW,West Ham,Premier League,30,1990,21.9,65,2.96,34,1,8,7,15,0,11,0.5,5,1,0,2,3,0,Matches
115,Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,2.6,1,0.39,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
116,Houssem Aouar,FRA,"MF,FW",Lyon,Ligue 1,22,1998,19.8,101,5.1,69,2,11,6,8,5,14,0.71,8,0,1,4,1,0,Matches
117,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,19.2,94,4.89,50,32,1,2,7,2,8,0.42,5,3,0,0,0,0,Matches
118,Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,17.3,24,1.39,21,0,2,0,0,1,5,0.29,4,0,1,0,0,0,Matches
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
120,Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0,Matches
121,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,18.5,31,1.67,29,0,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
122,Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,16.6,50,3.01,33,0,10,4,2,1,5,0.3,4,0,0,1,0,0,Matches
123,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,27.0,8,0.3,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
124,Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0,Matches
125,Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,31.2,30,0.96,17,4,4,2,0,3,3,0.1,1,0,1,1,0,0,Matches
126,Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36.0,1,0.03,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
127,Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1.0,1,1.0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
128,Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,3.3,7,2.14,4,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
129,Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,La Liga,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
130,Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
131,Stuart Armstrong,SCO,MF,Southampton,Premier League,28,1992,30.7,82,2.67,58,3,6,5,6,4,15,0.49,7,0,2,3,2,1,Matches
132,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,1994,28.7,92,3.2,34,37,2,6,10,3,12,0.42,5,4,1,0,2,0,Matches
133,Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,2000,1.2,1,0.8,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
134,Sergio Arribas,ESP,"FW,DF",Real Madrid,La Liga,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,Matches
135,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,6.5,1,0.15,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
136,Tolgay Arslan,GER,MF,Udinese,Serie A,29,1990,20.2,24,1.19,19,1,1,0,3,0,1,0.05,1,0,0,0,0,0,Matches
137,Kwadwo Asamoah,GHA,"DF,MF",Cagliari,Serie A,31,1988,2.5,2,0.8,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
