Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
150,Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,26,1994,21.7,779,1167,66.8,14437,6864,351,410,85.6,319,418,76.3,103,298,34.6,4,2.8,1.2,43,45,29,23,73,Matches
151,Serge Aurier,CIV,DF,Tottenham,Premier League,27,1992,17.8,769,954,80.6,12616,5171,402,446,90.1,297,373,79.6,58,99,58.6,3,1.9,1.1,12,29,20,6,61,Matches
152,Charlie Austin,ENG,FW,West Brom,Premier League,31,1989,1.5,25,34,73.5,374,134,12,14,85.7,12,16,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,4,Matches
153,Ezequiel Ávila,ARG,"MF,FW",Osasuna,La Liga,26,1994,2.2,32,57,56.1,650,176,13,22,59.1,12,18,66.7,6,12,50.0,0,0.0,0.0,0,4,3,0,5,Matches
154,Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,22,1997,15.1,208,301,69.1,3031,524,125,166,75.3,60,85,70.6,15,25,60.0,2,1.5,0.5,20,12,1,0,11,Matches
155,Mehmet-Can Aydin,GER,DF,Schalke 04,Bundesliga,18,2002,5.6,139,203,68.5,2300,948,67,83,80.7,62,86,72.1,10,24,41.7,0,0.5,-0.5,3,8,2,0,13,Matches
156,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,28,1991,23.3,514,654,78.6,7192,1223,319,372,85.8,146,185,78.9,23,41,56.1,3,0.7,2.3,12,12,14,2,36,Matches
157,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,25,1994,8.8,516,562,91.8,9122,2461,224,235,95.3,239,254,94.1,45,59,76.3,0,0.0,0.0,1,35,2,0,33,Matches
158,Luke Ayling,ENG,DF,Leeds United,Premier League,28,1991,37.8,2109,2661,79.3,42931,17225,763,864,88.3,997,1147,86.9,331,573,57.8,0,2.6,-2.6,25,177,35,12,203,Matches
159,Ramon Azeez,NGA,"MF,DF",Granada,La Liga,27,1992,1.1,28,38,73.7,416,47,17,22,77.3,11,15,73.3,0,1,0.0,0,0.0,0.0,0,3,0,0,0,Matches
160,César Azpilicueta,ESP,DF,Chelsea,Premier League,30,1989,24.3,1763,2015,87.5,30771,11059,750,804,93.3,873,953,91.6,119,201,59.2,2,2.6,-0.6,26,130,25,5,116,Matches
161,Ludovic Baal,GUF,DF,Brest,Ligue 1,34,1986,3.3,215,254,84.6,4312,1737,76,84,90.5,104,116,89.7,33,47,70.2,0,0.6,-0.6,3,30,2,2,22,Matches
162,Carlos Bacca,COL,FW,Villarreal,La Liga,33,1986,8.7,111,165,67.3,1682,392,62,78,79.5,22,39,56.4,13,22,59.1,0,0.9,-0.9,6,9,6,1,12,Matches
163,Loïc Bade,FRA,DF,Lens,Ligue 1,20,2000,29.0,1667,1891,88.2,38833,10221,369,402,91.8,910,978,93.0,377,488,77.3,0,0.3,-0.3,6,89,3,3,80,Matches
164,Milan Badelj,CRO,MF,Genoa,Serie A,31,1989,26.8,1298,1594,81.4,26953,7900,473,536,88.2,578,673,85.9,234,341,68.6,4,2.8,1.2,27,139,23,2,149,Matches
165,Édgar Badía,ESP,GK,Elche,La Liga,28,1992,30.0,867,1147,75.6,27112,17618,125,126,99.2,354,357,99.2,353,629,56.1,0,0.0,0.0,1,12,0,0,1,Matches
166,Alex Baena,ESP,MF,Villarreal,La Liga,19,2001,1.5,42,55,76.4,693,110,20,25,80.0,19,25,76.0,3,5,60.0,0,0.1,-0.1,2,3,1,0,3,Matches
167,Miguel Baeza,ESP,"MF,FW",Celta Vigo,La Liga,20,2000,6.0,177,217,81.6,2959,674,88,105,83.8,63,73,86.3,19,27,70.4,0,0.6,-0.6,6,11,6,2,13,Matches
168,Stéphane Bahoken,CMR,FW,Angers,Ligue 1,28,1992,18.0,249,349,71.3,3644,611,143,190,75.3,76,98,77.6,18,25,72.0,2,1.4,0.6,13,14,8,2,17,Matches
169,Leon Bailey,JAM,"FW,MF",Leverkusen,Bundesliga,22,1997,23.8,676,961,70.3,12158,2717,360,417,86.3,196,279,70.3,102,202,50.5,8,6.1,1.9,50,25,34,14,57,Matches
170,Eric Bailly,CIV,DF,Manchester Utd,Premier League,26,1994,10.2,494,547,90.3,10384,3113,139,148,93.9,281,304,92.4,71,91,78.0,0,0.0,0.0,0,28,0,0,29,Matches
171,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,18,2001,1.0,22,36,61.1,575,296,5,5,100.0,11,11,100.0,6,20,30.0,0,0.0,0.0,0,0,0,0,0,Matches
172,Tiemoué Bakayoko,FRA,MF,Napoli,Serie A,25,1994,21.8,1091,1209,90.2,20139,4216,461,508,90.7,459,488,94.1,147,173,85.0,1,0.8,0.2,11,91,8,0,69,Matches
173,Mitchel Bakker,NED,DF,Paris S-G,Ligue 1,20,2000,18.8,1192,1342,88.8,17510,5042,742,782,94.9,389,440,88.4,46,85,54.1,2,1.9,0.1,16,73,23,12,65,Matches
174,Ridle Baku,GER,"FW,DF",Wolfsburg,Bundesliga,22,1998,29.8,1096,1461,75.0,19626,6156,493,582,84.7,473,604,78.3,118,211,55.9,7,4.5,2.5,43,66,46,17,119,Matches
175,Ridle Baku,GER,DF,Mainz 05,Bundesliga,22,1998,2.0,62,88,70.5,1283,708,20,27,74.1,29,36,80.6,12,22,54.5,0,0.0,0.0,0,4,2,0,13,Matches
176,Dilane Bakwa,FRA,"FW,MF",Bordeaux,Ligue 1,17,2002,0.6,36,40,90.0,603,90,18,19,94.7,13,14,92.9,5,6,83.3,0,0.0,0.0,1,3,0,0,2,Matches
177,Fabián Balbuena,PAR,DF,West Ham,Premier League,28,1991,13.3,357,465,76.8,8603,3296,77,88,87.5,187,213,87.8,89,154,57.8,0,0.0,0.0,0,33,0,0,30,Matches
178,Keita Baldé,SEN,FW,Sampdoria,Serie A,25,1995,13.3,237,317,74.8,3443,541,131,162,80.9,83,104,79.8,13,25,52.0,1,1.7,-0.7,18,12,8,1,19,Matches
179,George Baldock,ENG,DF,Sheffield Utd,Premier League,27,1993,31.0,911,1160,78.5,13856,4559,530,578,91.7,302,386,78.2,53,121,43.8,2,1.7,0.3,17,39,29,8,61,Matches
180,Gareth Bale,WAL,FW,Tottenham,Premier League,31,1989,10.2,284,408,69.6,5577,1776,141,170,82.9,81,115,70.4,53,95,55.8,2,1.9,0.1,20,22,16,6,32,Matches
181,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,32,1988,18.8,710,936,75.9,12843,4172,308,358,86.0,319,386,82.6,75,149,50.3,1,0.6,0.4,7,57,8,6,45,Matches
182,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,21,1999,18.2,918,1046,87.8,19059,5343,294,317,92.7,467,506,92.3,149,198,75.3,0,0.0,0.0,1,40,0,0,43,Matches
183,Fodé Ballo-Touré,SEN,DF,Monaco,Ligue 1,23,1997,7.4,352,430,81.9,6095,1783,157,172,91.3,158,188,84.0,31,53,58.5,3,0.7,2.3,8,22,11,6,30,Matches
184,Botond Balogh,HUN,DF,Parma,Serie A,18,2002,1.8,62,83,74.7,1583,422,10,11,90.9,32,39,82.1,19,29,65.5,0,0.0,0.0,0,0,0,0,3,Matches
185,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,30,1990,15.0,670,875,76.6,11398,5476,342,376,91.0,264,336,78.6,56,129,43.4,0,1.4,-1.4,12,40,14,8,54,Matches
186,Jonathan Bamba,FRA,MF,Lille,Ligue 1,24,1996,33.2,1331,1691,78.7,22214,5890,702,783,89.7,465,567,82.0,124,254,48.8,9,5.1,3.9,65,104,47,10,114,Matches
