Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1641,Lautaro Martínez,ARG,FW,Inter,Serie A,22,1997,28.5,422,583,72.4,6832,1633,227,293,77.5,121,161,75.2,42,60,70.0,6,4.5,1.5,32,37,23,1,62,Matches
1642,Pablo Martinez,FRA,DF,Nîmes,Ligue 1,31,1989,6.0,250,299,83.6,6540,2023,47,51,92.2,120,131,91.6,81,114,71.1,1,0.1,0.9,2,20,0,0,16,Matches
1643,Gelson Martins,POR,"MF,FW",Monaco,Ligue 1,25,1995,17.2,527,632,83.4,7602,1663,313,354,88.4,169,197,85.8,25,39,64.1,2,2.8,-0.8,19,23,20,7,43,Matches
1644,Adam Marušić,MNE,DF,Lazio,Serie A,27,1992,33.0,1352,1619,83.5,24779,7562,593,667,88.9,560,634,88.3,172,256,67.2,3,2.2,0.8,32,68,28,17,90,Matches
1645,Sylvain Marveaux,FRA,"MF,FW",Lorient,Ligue 1,34,1986,2.2,69,85,81.2,1111,352,38,41,92.7,25,29,86.2,4,11,36.4,0,0.0,0.0,1,8,0,0,11,Matches
1646,Marvin,ESP,"DF,FW",Real Madrid,La Liga,20,2000,1.5,69,81,85.2,1078,318,39,42,92.9,25,28,89.3,4,9,44.4,1,0.2,0.8,2,3,1,0,9,Matches
1647,Omar Mascarell,ESP,MF,Schalke 04,Bundesliga,27,1993,19.6,726,883,82.2,15695,3703,233,262,88.9,342,389,87.9,142,205,69.3,1,0.5,0.5,7,49,7,0,66,Matches
1648,Andrea Masiello,ITA,DF,Genoa,Serie A,34,1986,28.5,1175,1377,85.3,24453,9648,421,448,94.0,539,591,91.2,204,316,64.6,0,0.3,-0.3,7,73,11,2,79,Matches
1649,Jordi Masip,ESP,GK,Valladolid,La Liga,31,1989,25.0,417,800,52.1,16216,11856,41,42,97.6,157,157,100.0,218,600,36.3,0,0.0,0.0,0,15,0,0,0,Matches
1650,Roberto Massimo,GER,"DF,FW",Stuttgart,Bundesliga,19,2000,8.4,226,299,75.6,3881,984,108,133,81.2,94,114,82.5,19,31,61.3,0,1.4,-1.4,8,7,9,2,18,Matches
1651,Giuseppe Mastinu,ITA,FW,Spezia,Serie A,28,1991,0.4,9,12,75.0,156,53,6,7,85.7,2,3,66.7,1,2,50.0,0,0.0,0.0,0,2,0,0,1,Matches
1652,Arthur Masuaku,COD,"DF,FW",West Ham,Premier League,26,1993,11.2,442,552,80.1,7513,2551,245,272,90.1,151,190,79.5,41,66,62.1,2,1.9,0.1,13,25,16,10,39,Matches
1653,Jaime Mata,ESP,FW,Getafe,La Liga,31,1988,22.6,395,597,66.2,5333,1097,250,333,75.1,99,149,66.4,24,53,45.3,0,1.2,-1.2,14,19,10,3,30,Matches
1654,Juan Mata,ESP,"FW,MF",Manchester Utd,Premier League,32,1988,5.7,247,294,84.0,3813,827,147,159,92.5,73,87,83.9,22,34,64.7,2,0.8,1.2,8,18,4,1,19,Matches
1655,Pape Matar Sarr,SEN,MF,Metz,Ligue 1,17,2002,17.7,794,928,85.6,15659,3446,331,369,89.7,328,363,90.4,125,165,75.8,0,0.7,-0.7,18,62,10,0,70,Matches
1656,Eliot Matazo,BEL,MF,Monaco,Ligue 1,18,2002,3.5,72,92,78.3,1333,218,29,41,70.7,33,38,86.8,10,13,76.9,1,0.5,0.5,3,2,2,0,7,Matches
1657,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,23,1997,2.5,31,51,60.8,334,67,25,30,83.3,4,15,26.7,0,0,0.0,0,0.0,0.0,1,1,0,0,3,Matches
1658,Jean-Philippe Mateta,FRA,FW,Mainz 05,Bundesliga,23,1997,11.1,182,252,72.2,2553,307,107,135,79.3,55,74,74.3,10,13,76.9,1,1.5,-0.5,14,5,4,0,6,Matches
1659,Nemanja Matić,SRB,MF,Manchester Utd,Premier League,31,1988,12.3,882,975,90.5,16853,4366,346,371,93.3,418,450,92.9,109,135,80.7,0,0.4,-0.4,7,83,10,3,79,Matches
1660,Joël Matip,CMR,DF,Liverpool,Premier League,28,1991,7.7,466,527,88.4,10052,2584,127,136,93.4,256,271,94.5,80,114,70.2,2,1.0,1.0,2,30,1,0,15,Matches
1661,Rabbi Matondo,WAL,"FW,MF",Schalke 04,Bundesliga,19,2000,2.4,34,40,85.0,584,56,18,20,90.0,10,10,100.0,4,5,80.0,0,0.1,-0.1,3,2,3,0,3,Matches
1662,Ryder Matos,BRA,MF,Udinese,Serie A,27,1993,0.1,5,7,71.4,79,39,4,5,80.0,0,0,0.0,1,2,50.0,0,0.0,0.0,1,1,1,1,1,Matches
1663,Henning Matriciani,GER,DF,Schalke 04,Bundesliga,20,2000,0.3,3,5,60.0,72,72,1,3,33.3,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
1664,Chrislain Matsima,FRA,DF,Monaco,Ligue 1,18,2002,3.9,244,272,89.7,5274,1552,64,69,92.8,139,144,96.5,40,53,75.5,0,0.1,-0.1,2,26,2,1,18,Matches
1665,Federico Mattiello,ITA,DF,Spezia,Serie A,25,1995,0.4,29,42,69.0,617,345,12,13,92.3,10,15,66.7,7,12,58.3,0,0.0,0.0,0,5,0,0,6,Matches
1666,Neal Maupay,FRA,"FW,MF",Brighton,Premier League,23,1996,27.9,508,656,77.4,7903,1364,255,310,82.3,186,222,83.8,37,60,61.7,2,3.6,-1.6,31,32,28,4,41,Matches
1667,Tony Mauricio,FRA,MF,Lens,Ligue 1,26,1994,5.6,275,342,80.4,5483,1344,117,133,88.0,98,111,88.3,55,82,67.1,4,1.4,2.6,13,20,6,2,24,Matches
1668,Stephy Mavididi,ENG,"FW,MF",Montpellier,Ligue 1,22,1998,22.6,398,512,77.7,5826,1008,240,280,85.7,121,152,79.6,22,35,62.9,0,1.2,-1.2,15,12,8,3,19,Matches
1669,Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,22,1997,16.3,844,1059,79.7,17917,7314,284,327,86.9,409,465,88.0,143,239,59.8,0,0.3,-0.3,4,72,6,2,75,Matches
1670,Eric Maxim Choupo-Moting,CMR,"FW,MF",Bayern Munich,Bundesliga,31,1989,9.1,178,220,80.9,2415,404,118,133,88.7,46,57,80.7,7,9,77.8,0,1.6,-1.6,11,9,6,0,17,Matches
1671,Borja Mayoral,ESP,FW,Real Madrid,La Liga,23,1997,0.3,3,5,60.0,55,0,1,1,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1672,Borja Mayoral,ESP,FW,Roma,Serie A,23,1997,17.2,293,366,80.1,4926,687,157,187,84.0,91,111,82.0,36,45,80.0,3,1.7,1.3,22,17,11,0,21,Matches
1673,Youssef Maziz,FRA,"MF,FW",Metz,Ligue 1,22,1998,2.9,84,119,70.6,1630,406,35,49,71.4,32,39,82.1,15,28,53.6,0,0.4,-0.4,9,9,4,0,11,Matches
1674,Antonio Mazzotta,ITA,DF,Crotone,Serie A,30,1989,0.6,7,11,63.6,90,5,3,3,100.0,4,6,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1675,Kevin Mbabu,SUI,DF,Wolfsburg,Bundesliga,25,1995,18.2,719,1029,69.9,14651,6665,235,300,78.3,386,485,79.6,96,194,49.5,1,1.2,-0.2,13,68,30,11,141,Matches
1676,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,21,1998,26.4,812,1033,78.6,11138,2052,519,618,84.0,232,279,83.2,32,59,54.2,7,4.6,2.4,35,37,36,6,61,Matches
1677,Ibrahima Mbaye,SEN,DF,Bologna,Serie A,25,1994,4.8,168,208,80.8,2716,1119,88,102,86.3,64,78,82.1,12,17,70.6,0,0.0,0.0,1,9,0,0,8,Matches
1678,Jean-Manuel Mbom,GER,"MF,DF",Werder Bremen,Bundesliga,20,2000,12.9,257,364,70.6,4497,1374,124,158,78.5,106,143,74.1,22,47,46.8,1,0.6,0.4,7,20,6,2,22,Matches
1679,Nathanael Mbuku,FRA,"MF,FW",Reims,Ligue 1,18,2002,24.6,448,584,76.7,7534,2102,219,258,84.9,174,217,80.2,40,73,54.8,1,2.5,-1.5,24,38,31,3,67,Matches
1680,James McArthur,SCO,MF,Crystal Palace,Premier League,32,1987,16.3,627,769,81.5,11897,3424,240,276,87.0,288,327,88.1,83,128,64.8,2,0.9,1.1,13,63,6,0,60,Matches
1681,Oliver McBurnie,SCO,FW,Sheffield Utd,Premier League,24,1996,14.7,268,426,62.9,3690,1051,167,246,67.9,82,133,61.7,7,11,63.6,0,1.1,-1.1,14,21,16,0,43,Matches
1682,Alex McCarthy,ENG,GK,Southampton,Premier League,30,1989,30.0,687,1069,64.3,18362,11429,181,182,99.5,284,287,99.0,209,585,35.7,0,0.0,0.0,0,7,2,0,0,Matches
1683,James McCarthy,IRL,MF,Crystal Palace,Premier League,29,1990,9.1,254,329,77.2,5343,1306,84,100,84.0,116,137,84.7,49,79,62.0,0,0.3,-0.3,6,26,4,3,24,Matches
1684,John McGinn,SCO,MF,Aston Villa,Premier League,25,1994,37.0,1080,1398,77.3,23732,7706,360,418,86.1,466,569,81.9,227,349,65.0,5,3.0,2.0,40,179,44,6,179,Matches
1685,David McGoldrick,IRL,"FW,MF",Sheffield Utd,Premier League,32,1987,26.6,699,938,74.5,11570,2027,371,463,80.1,255,336,75.9,62,95,65.3,1,1.3,-0.3,15,48,24,3,68,Matches
1686,Weston McKennie,USA,MF,Juventus,Serie A,21,1998,18.9,667,784,85.1,11001,2250,337,373,90.3,255,298,85.6,54,72,75.0,2,2.8,-0.8,24,39,17,1,51,Matches
1687,Dwight McNeil,ENG,MF,Burnley,Premier League,20,1999,34.1,920,1336,68.9,18456,5542,395,452,87.4,336,429,78.3,169,369,45.8,5,6.5,-1.5,50,74,41,24,77,Matches
1688,Scott McTominay,SCO,MF,Manchester Utd,Premier League,23,1996,23.7,1109,1270,87.3,21728,5711,427,466,91.6,511,567,90.1,155,205,75.6,1,0.9,0.1,14,109,9,1,104,Matches
1689,Gary Medel,CHI,"DF,MF",Bologna,Serie A,32,1987,5.7,313,340,92.1,6968,1988,85,90,94.4,156,167,93.4,70,78,89.7,1,0.2,0.8,1,17,1,0,19,Matches
1690,Facundo Medina,ARG,DF,Lens,Ligue 1,21,1999,22.3,1358,1558,87.2,28373,10698,446,483,92.3,698,749,93.2,207,293,70.6,0,0.3,-0.3,7,118,4,1,139,Matches
1691,Nathan de Medina,BEL,DF,Arminia,Bundesliga,22,1997,7.1,210,316,66.5,3562,1591,105,118,89.0,82,130,63.1,16,48,33.3,1,0.6,0.4,3,13,4,2,13,Matches
1692,Ben Mee,ENG,DF,Burnley,Premier League,30,1989,29.9,784,1044,75.1,18309,6982,232,270,85.9,341,401,85.0,199,349,57.0,0,0.3,-0.3,6,51,1,0,64,Matches
1693,Joshua Mees,GER,FW,Union Berlin,Bundesliga,24,1996,0.1,2,3,66.7,19,0,2,2,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1694,Admir Mehmedi,SUI,"MF,FW",Wolfsburg,Bundesliga,29,1991,9.1,347,442,78.5,5595,1392,185,223,83.0,119,142,83.8,29,48,60.4,2,2.0,0.0,17,35,17,3,44,Matches
1695,Soualiho Meïté,FRA,MF,Torino,Serie A,26,1994,10.2,314,383,82.0,5712,1024,148,171,86.5,119,137,86.9,41,59,69.5,1,0.3,0.7,7,29,5,1,21,Matches
1696,Soualiho Meïté,FRA,MF,Milan,Serie A,26,1994,6.5,241,285,84.6,4404,979,103,124,83.1,104,118,88.1,28,33,84.8,0,0.4,-0.4,5,29,4,0,18,Matches
1697,Hannibal Mejbri,FRA,MF,Manchester Utd,Premier League,17,2003,0.1,3,3,100.0,58,25,2,2,100.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
1698,Farid El Melali,ALG,"FW,MF",Angers,Ligue 1,23,1997,4.6,111,147,75.5,1764,596,66,78,84.6,31,45,68.9,10,14,71.4,0,0.1,-0.1,2,6,4,0,10,Matches
1699,Filippo Melegoni,ITA,"MF,DF",Genoa,Serie A,21,1999,4.3,202,242,83.5,3429,820,102,111,91.9,78,92,84.8,20,33,60.6,0,0.4,-0.4,4,10,4,0,15,Matches
1700,Gonzalo Melero,ESP,"MF,FW",Levante,La Liga,26,1994,20.6,934,1048,89.1,15644,3771,461,506,91.1,377,404,93.3,76,99,76.8,1,1.7,-0.7,19,90,11,1,88,Matches
1701,Birger Meling,NOR,DF,Nîmes,Ligue 1,25,1994,25.9,1064,1307,81.4,18812,6384,498,556,89.6,426,494,86.2,118,203,58.1,3,2.5,0.5,19,86,17,6,104,Matches
1702,Arthur Melo,BRA,MF,Juventus,Serie A,23,1996,12.9,1013,1073,94.4,19427,4633,393,417,94.2,471,489,96.3,140,152,92.1,0,0.9,-0.9,17,86,6,0,66,Matches
1703,Houboulang Mendes,FRA,DF,Lorient,Ligue 1,22,1998,14.4,434,599,72.5,7244,2990,222,254,87.4,172,227,75.8,35,85,41.2,0,0.3,-0.3,3,18,8,5,30,Matches
1704,Pedro Mendes,POR,DF,Montpellier,Ligue 1,29,1990,18.1,678,802,84.5,16838,5481,149,159,93.7,330,354,93.2,191,268,71.3,0,0.2,-0.2,2,40,2,1,39,Matches
1705,Thiago Mendes,BRA,MF,Lyon,Ligue 1,28,1992,24.9,1327,1499,88.5,25853,7785,543,579,93.8,547,590,92.7,202,277,72.9,1,1.6,-0.6,25,173,24,2,162,Matches
1706,Brais Méndez,ESP,"MF,FW",Celta Vigo,La Liga,23,1997,29.7,936,1188,78.8,14932,4065,509,590,86.3,315,390,80.8,80,131,61.1,0,2.0,-2.0,19,69,33,5,101,Matches
1707,Édgar Méndez,ESP,"MF,FW",Alavés,La Liga,30,1990,23.2,286,499,57.3,5178,1623,137,193,71.0,101,175,57.7,39,89,43.8,1,1.4,-0.4,20,12,19,11,30,Matches
1708,Eñaut Mendía,ESP,FW,Eibar,La Liga,21,1999,0.7,5,11,45.5,100,34,2,4,50.0,3,5,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1709,Batista Mendy,FRA,MF,Nantes,Ligue 1,20,2000,0.8,30,36,83.3,468,100,14,15,93.3,15,18,83.3,1,3,33.3,0,0.0,0.0,0,1,0,0,1,Matches
1710,Benjamin Mendy,FRA,DF,Manchester City,Premier League,26,1994,10.6,532,651,81.7,9755,2601,205,233,88.0,269,307,87.6,54,90,60.0,1,0.4,0.6,5,28,10,3,49,Matches
1711,Edouard Mendy,SEN,GK,Rennes,Ligue 1,28,1992,1.0,24,29,82.8,757,439,2,2,100.0,12,12,100.0,10,15,66.7,0,0.1,-0.1,1,1,0,0,0,Matches
1712,Edouard Mendy,SEN,GK,Chelsea,Premier League,28,1992,30.5,852,1007,84.6,20804,10309,208,210,99.0,422,425,99.3,216,366,59.0,0,0.0,0.0,0,4,0,0,0,Matches
1713,Ferland Mendy,FRA,DF,Real Madrid,La Liga,25,1995,24.5,1324,1475,89.8,21550,6077,718,756,95.0,476,523,91.0,109,148,73.6,0,1.7,-1.7,20,52,26,6,77,Matches
1714,Nampalys Mendy,SEN,MF,Leicester City,Premier League,28,1992,16.2,882,965,91.4,15259,3059,404,434,93.1,382,409,93.4,81,101,80.2,1,0.4,0.6,6,78,0,0,49,Matches
1715,Hamza Mendyl,MAR,FW,Schalke 04,Bundesliga,22,1997,1.1,23,29,79.3,340,144,12,16,75.0,9,10,90.0,1,1,100.0,0,0.0,0.0,0,3,0,0,5,Matches
1716,Levent Mercan,GER,FW,Schalke 04,Bundesliga,19,2000,0.1,1,1,100.0,30,5,0,0,0.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1717,Jorge Meré,ESP,DF,Köln,Bundesliga,23,1997,14.4,603,680,88.7,14241,3552,130,139,93.5,334,355,94.1,133,176,75.6,0,0.2,-0.2,3,32,5,0,23,Matches
1718,Alex Meret,ITA,GK,Napoli,Serie A,23,1997,22.0,539,607,88.8,12992,6217,138,138,100.0,255,260,98.1,145,207,70.0,0,0.1,-0.1,2,1,0,0,0,Matches
1719,Mikel Merino,ESP,MF,Real Sociedad,La Liga,24,1996,23.9,922,1210,76.2,16605,5367,410,506,81.0,366,443,82.6,113,194,58.2,4,2.1,1.9,21,140,32,1,140,Matches
1720,Martín Merquelanz,ESP,"FW,MF",Real Sociedad,La Liga,25,1995,6.1,173,256,67.6,3112,760,82,98,83.7,64,88,72.7,22,49,44.9,1,1.8,-0.8,10,8,5,0,13,Matches
1721,Yıldırım Mert Çetin,TUR,DF,Hellas Verona,Serie A,23,1997,4.6,149,187,79.7,3391,846,39,55,70.9,72,82,87.8,35,46,76.1,0,0.0,0.0,0,10,0,0,17,Matches
1722,Dries Mertens,BEL,"FW,MF",Napoli,Serie A,33,1987,16.2,367,498,73.7,6287,1777,186,217,85.7,134,171,78.4,38,76,50.0,8,3.7,4.3,40,29,19,5,56,Matches
1723,Roque Mesa,ESP,MF,Valladolid,La Liga,31,1989,19.6,741,941,78.7,14487,3800,306,334,91.6,309,369,83.7,110,196,56.1,0,1.1,-1.1,16,100,16,3,88,Matches
1724,Illan Meslier,FRA,GK,Leeds United,Premier League,20,2000,35.0,1090,1348,80.9,27992,13228,246,248,99.2,522,529,98.7,319,568,56.2,0,0.1,-0.1,1,2,0,0,0,Matches
1725,Lionel Messi,ARG,"FW,MF",Barcelona,La Liga,33,1987,33.6,1990,2418,82.3,32120,10445,1135,1265,89.7,636,740,85.9,180,311,57.9,9,10.8,-1.8,77,259,145,11,317,Matches
1726,Junior Messias,BRA,"MF,FW",Crotone,Serie A,29,1991,35.7,913,1239,73.7,15959,4240,439,527,83.3,343,435,78.9,103,216,47.7,4,2.9,1.1,35,63,41,5,107,Matches
1727,Thomas Meunier,BEL,DF,Dortmund,Bundesliga,28,1991,16.4,1024,1253,81.7,18826,5553,450,502,89.6,441,511,86.3,119,191,62.3,1,1.7,-0.7,13,73,22,11,88,Matches
1728,Mexer,MOZ,DF,Bordeaux,Ligue 1,31,1988,7.9,397,447,88.8,8382,2326,124,129,96.1,205,226,90.7,65,86,75.6,0,0.1,-0.1,2,17,0,0,14,Matches
1729,Max Meyer,GER,MF,Köln,Bundesliga,24,1995,3.9,216,260,83.1,3599,654,109,121,90.1,72,87,82.8,26,38,68.4,0,0.1,-0.1,2,17,7,0,17,Matches
1730,Omenuke Mfulu,COD,MF,Elche,La Liga,26,1994,8.8,299,337,88.7,5610,968,121,134,90.3,135,141,95.7,36,45,80.0,0,0.0,0.0,1,15,0,0,17,Matches
1731,Míchel,ESP,MF,Valladolid,La Liga,32,1988,10.5,528,662,79.8,10261,2593,210,236,89.0,225,256,87.9,83,151,55.0,0,0.8,-0.8,12,40,4,1,40,Matches
1732,Jonas Michel Dirkner,GER,MF,Hertha BSC,Bundesliga,18,2002,0.2,2,4,50.0,65,43,0,0,0.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
1733,Jonas Michelbrink,GER,MF,Hertha BSC,Bundesliga,19,2001,0.4,11,15,73.3,158,39,5,6,83.3,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1734,Clément Michelin,FRA,DF,Lens,Ligue 1,23,1997,12.8,490,672,72.9,10046,3852,178,211,84.4,227,280,81.1,79,157,50.3,4,3.2,0.8,18,23,15,10,43,Matches
1735,Edouard Michut,FRA,MF,Paris S-G,Ligue 1,17,2003,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1736,Petar Mićin,SRB,MF,Udinese,Serie A,21,1998,0.2,8,9,88.9,199,4,3,3,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1737,Florian Miguel,FRA,DF,Nîmes,Ligue 1,23,1996,17.1,749,913,82.0,17394,5538,157,169,92.9,435,484,89.9,153,249,61.4,0,0.1,-0.1,1,53,7,2,48,Matches
1738,Valentin Mihaila,ROU,"FW,MF",Parma,Serie A,20,2000,7.8,136,200,68.0,2245,449,80,98,81.6,37,59,62.7,16,30,53.3,0,0.7,-0.7,8,6,4,3,7,Matches
1739,Nikola Milenković,SRB,DF,Fiorentina,Serie A,22,1997,33.7,1443,1657,87.1,29961,9601,440,495,88.9,760,833,91.2,232,297,78.1,1,0.3,0.7,6,112,3,0,97,Matches
1740,Arkadiusz Milik,POL,FW,Marseille,Ligue 1,26,1994,13.6,221,302,73.2,3129,386,115,150,76.7,71,93,76.3,14,21,66.7,1,1.2,-0.2,7,11,4,1,14,Matches
1741,Sergej Milinković-Savić,SRB,MF,Lazio,Serie A,25,1995,30.5,1407,1802,78.1,27319,7483,577,699,82.5,578,683,84.6,213,332,64.2,9,6.4,2.6,41,138,66,16,161,Matches
1742,Vanja Milinković-Savić,SRB,GK,Torino,Serie A,23,1997,5.0,121,179,67.6,3520,2150,21,21,100.0,68,69,98.6,31,88,35.2,0,0.0,0.0,0,6,0,0,0,Matches
1743,Éder Militão,BRA,DF,Real Madrid,La Liga,22,1998,12.6,695,768,90.5,15764,4289,187,199,94.0,348,362,96.1,154,195,79.0,0,0.0,0.0,0,29,1,1,24,Matches
1744,Luka Milivojević,SRB,MF,Crystal Palace,Premier League,29,1991,26.2,1029,1269,81.1,20757,6655,376,424,88.7,460,537,85.7,173,260,66.5,1,1.3,-0.3,20,104,13,2,108,Matches
1745,Luis Milla,ESP,MF,Granada,La Liga,25,1994,13.9,416,535,77.8,8696,2524,152,168,90.5,179,210,85.2,77,137,56.2,1,2.1,-1.1,20,38,13,1,40,Matches
1746,Pere Milla,ESP,"FW,MF",Elche,La Liga,27,1992,22.0,424,577,73.5,6344,1133,262,318,82.4,118,160,73.8,31,56,55.4,3,1.7,1.3,13,27,6,0,26,Matches
1747,Alejandro Millán,ESP,FW,Villarreal,La Liga,20,1999,0.0,0,1,0.0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1748,Vincenzo Millico,ITA,"FW,MF",Torino,Serie A,19,2000,0.2,9,10,90.0,164,44,6,6,100.0,1,1,100.0,2,3,66.7,0,0.0,0.0,1,0,0,0,0,Matches
1749,Enzo Millot,FRA,MF,Monaco,Ligue 1,18,2002,0.5,19,25,76.0,306,67,13,14,92.9,4,4,100.0,2,5,40.0,0,0.0,0.0,0,1,0,0,1,Matches
1750,James Milner,ENG,"MF,DF",Liverpool,Premier League,34,1986,11.9,775,913,84.9,14652,4241,331,359,92.2,331,369,89.7,105,146,71.9,1,1.2,-0.2,13,76,26,5,89,Matches
1751,Santi Mina,ESP,FW,Celta Vigo,La Liga,24,1995,26.8,455,614,74.1,6191,1096,285,359,79.4,102,148,68.9,29,45,64.4,3,1.5,1.5,12,18,5,1,28,Matches
1752,Yerry Mina,COL,DF,Everton,Premier League,25,1994,21.5,1115,1227,90.9,23055,6367,294,313,93.9,634,664,95.5,160,214,74.8,0,0.0,0.0,0,49,0,0,45,Matches
1753,Takumi Minamino,JPN,"MF,FW",Southampton,Premier League,25,1995,7.9,186,257,72.4,2866,533,99,125,79.2,69,88,78.4,11,26,42.3,0,0.5,-0.5,5,11,5,0,17,Matches
1754,Takumi Minamino,JPN,"MF,FW",Liverpool,Premier League,25,1995,3.3,111,139,79.9,1589,332,66,73,90.4,40,49,81.6,3,12,25.0,0,0.0,0.0,0,11,2,0,4,Matches
1755,Tyrone Mings,ENG,DF,Aston Villa,Premier League,27,1993,35.5,1262,1585,79.6,29862,11824,288,324,88.9,707,768,92.1,257,462,55.6,2,0.6,1.4,7,120,6,2,108,Matches
1756,Óscar Mingueza,ESP,DF,Barcelona,La Liga,21,1999,21.1,1550,1686,91.9,26273,7559,723,756,95.6,697,736,94.7,107,153,69.9,2,1.0,1.0,8,118,12,2,58,Matches
1757,Rafa Mir,ESP,FW,Huesca,La Liga,23,1997,32.0,280,472,59.3,4553,1132,150,213,70.4,94,165,57.0,22,49,44.9,1,1.8,-0.8,11,20,7,1,33,Matches
1758,Jorge Miramón,ESP,DF,Levante,La Liga,31,1989,19.2,824,1053,78.3,15676,6693,351,398,88.2,363,425,85.4,103,194,53.1,3,1.3,1.7,14,52,31,15,85,Matches
1759,Aleksei Miranchuk,RUS,"FW,MF",Atalanta,Serie A,24,1995,7.5,321,408,78.7,5229,1252,170,202,84.2,110,134,82.1,31,49,63.3,2,2.5,-0.5,14,30,21,1,44,Matches
1760,Juan Miranda,ESP,DF,Betis,La Liga,20,2000,18.4,701,935,75.0,11958,5314,356,396,89.9,263,349,75.4,67,153,43.8,2,1.3,0.7,13,58,16,9,58,Matches
1761,Antonio Mirante,ITA,GK,Roma,Serie A,37,1983,12.8,341,436,78.2,9348,5673,66,66,100.0,160,165,97.0,113,202,55.9,0,0.0,0.0,0,2,0,0,1,Matches
1762,Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,20,1999,19.0,547,779,70.2,8913,5507,274,322,85.1,220,308,71.4,40,92,43.5,1,0.4,0.6,3,50,10,6,55,Matches
1763,Aleksandar Mitrović,SRB,FW,Fulham,Premier League,25,1994,15.6,292,384,76.0,3977,615,181,223,81.2,76,107,71.0,16,24,66.7,3,2.6,0.4,22,12,13,1,20,Matches
1764,Stefan Mitrović,SRB,DF,Strasbourg,Ligue 1,30,1990,30.9,1118,1242,90.0,26991,8281,220,231,95.2,606,642,94.4,281,351,80.1,0,0.0,0.0,3,44,1,0,40,Matches
1765,Maximilian Mittelstädt,GER,DF,Hertha BSC,Bundesliga,23,1997,20.0,842,1126,74.8,17180,5985,308,365,84.4,375,447,83.9,150,270,55.6,2,1.9,0.1,23,63,28,14,81,Matches
1766,Henrikh Mkhitaryan,ARM,"FW,MF",Roma,Serie A,31,1989,30.5,937,1230,76.2,15710,4066,482,588,82.0,345,429,80.4,92,145,63.4,10,9.0,1.0,50,71,48,5,121,Matches
1767,Jakub Moder,POL,"DF,MF",Brighton,Premier League,21,1999,7.2,200,268,74.6,2874,870,118,135,87.4,71,90,78.9,6,24,25.0,0,0.2,-0.2,3,17,7,0,21,Matches
1768,Anthony Modeste,FRA,"FW,MF",Köln,Bundesliga,32,1988,2.5,28,48,58.3,391,43,22,30,73.3,3,9,33.3,2,3,66.7,0,0.0,0.0,1,1,0,0,0,Matches
1769,Anthony Modeste,FRA,FW,Saint-Étienne,Ligue 1,32,1988,3.3,31,54,57.4,472,59,22,35,62.9,6,11,54.5,3,7,42.9,0,0.1,-0.1,2,3,0,0,2,Matches
1770,Luka Modrić,CRO,MF,Real Madrid,La Liga,34,1985,30.4,2005,2308,86.9,38313,10980,931,1014,91.8,720,804,89.6,324,414,78.3,3,4.2,-1.2,49,231,62,7,219,Matches
1771,Terem Moffi,NGA,FW,Lorient,Ligue 1,21,1999,23.0,285,401,71.1,4189,823,172,217,79.3,69,103,67.0,25,43,58.1,2,3.9,-1.9,28,17,15,1,30,Matches
1772,Kevin Möhwald,GER,MF,Werder Bremen,Bundesliga,27,1993,17.3,833,987,84.4,14422,3121,409,451,90.7,304,342,88.9,95,144,66.0,1,1.0,0.0,12,65,11,2,60,Matches
1773,Niklas Moisander,FIN,DF,Werder Bremen,Bundesliga,34,1985,13.6,796,886,89.8,18042,5787,190,205,92.7,446,474,94.1,157,195,80.5,0,0.0,0.0,2,41,3,0,46,Matches
1774,Dion Moise Sahi,CIV,"FW,MF",Strasbourg,Ligue 1,18,2001,1.0,23,30,76.7,307,57,16,20,80.0,6,7,85.7,1,1,100.0,0,0.0,0.0,1,2,0,0,0,Matches
